checkpoint_timestamp,voxel_x,voxel_y,voxel_z,first_seen_time,last_seen_time,total_point_hits,observed_frames,active_time_bins,sum_x,sum_y,sum_z
1658137044.824914217,-1,-12,33,1658137044.824914217,1658137044.824914217,1,1,1,-0.309165478,-5.748222351,16.552749634
1658137044.824914217,-1,-2,34,1658137044.824914217,1658137044.824914217,1,1,1,-0.227614030,-0.876857162,17.118947983
1658137044.824914217,-1,24,-1,1658137044.824914217,1658137044.824914217,1,1,1,-0.097988479,12.377447128,-0.046352588
1658137044.824914217,-11,-30,-9,1658137044.824914217,1658137044.824914217,1,1,1,-5.140564442,-14.987556458,-4.103481293
1658137044.824914217,0,-28,-27,1658137044.824914217,1658137044.824914217,1,1,1,0.305782109,-13.557766914,-13.007962227
1658137044.824914217,-1,11,30,1658137044.824914217,1658137044.824914217,2,1,1,-0.186057374,11.631356239,30.220746040
1658137044.824914217,-4,5,-29,1658137044.824914217,1658137044.824914217,1,1,1,-1.862770081,2.511551142,-14.472429276
1658137044.824914217,-1,-16,32,1658137044.824914217,1658137044.824914217,1,1,1,-0.425231218,-7.711559772,16.333068848
1658137044.824914217,-1,-9,33,1658137044.824914217,1658137044.824914217,1,1,1,-0.229144692,-4.219373226,16.594003677
1658137044.824914217,-4,-11,-27,1658137044.824914217,1658137044.824914217,1,1,1,-1.589985013,-5.001229286,-13.305865288
1658137044.824914217,0,25,13,1658137044.824914217,1658137044.824914217,1,1,1,0.285297066,12.593146324,6.610452652
1658137044.824914217,-7,-9,-26,1658137044.824914217,1658137044.824914217,1,1,1,-3.018927336,-4.463860035,-12.629194260
1658137044.824914217,0,22,17,1658137044.824914217,1658137044.824914217,1,1,1,0.167132929,11.209343910,8.550988197
1658137044.824914217,-1,-16,31,1658137044.824914217,1658137044.824914217,1,1,1,-0.402627856,-7.709385395,15.614637375
1658137044.824914217,-1,-14,33,1658137044.824914217,1658137044.824914217,1,1,1,-0.352915078,-6.765735626,16.636518478
1658137044.824914217,-1,-13,33,1658137044.824914217,1658137044.824914217,1,1,1,-0.327931464,-6.261028290,16.644638062
1658137044.824914217,-1,9,31,1658137044.824914217,1658137044.824914217,1,1,1,-0.149189189,4.937031746,15.528914452
1658137044.824914217,-9,-14,-10,1658137044.724828005,1658137044.724828005,1,1,1,-4.096542358,-6.975164413,-4.877201080
1658137044.824914217,-3,-16,-15,1658137044.724828005,1658137044.724828005,1,1,1,-1.314077258,-7.962708473,-7.073541641
1658137044.824914217,-4,-16,-15,1658137044.724828005,1658137044.724828005,1,1,1,-1.526629925,-7.937238693,-7.229509354
1658137044.824914217,-1,-36,-14,1658137044.724828005,1658137044.724828005,1,1,1,-0.488307446,-17.861583710,-6.741363049
1658137044.824914217,0,-31,-16,1658137044.724828005,1658137044.724828005,1,1,1,0.030036494,-15.116598129,-7.951696873
