timestamp,frame_index,input_points,observed_voxels,new_voxels,reobserved_voxels,total_tracked_voxels,elapsed_ms
1658137038.624750853,1,107,89,89,0,89,0.014001
1658137038.724840641,2,151,126,48,78,137,0.016817
1658137038.824929476,3,219,153,27,126,164,0.015193
1658137038.924761057,4,227,165,30,135,194,0.016915
1658137039.024845600,5,167,128,19,109,213,0.015034
1658137039.124808073,6,296,223,47,176,260,0.025787
1658137039.224895239,7,328,241,34,207,294,0.021832
1658137039.324856758,8,79,60,6,54,300,0.009421
1658137039.424824715,9,273,206,37,169,337,0.020618
1658137039.524910688,10,229,159,16,143,353,0.020359
1658137039.624746561,11,439,369,101,268,454,0.033405
1658137039.724836588,12,528,426,77,349,531,0.037467
1658137039.824910402,13,413,255,22,233,553,0.045689
1658137039.924752235,14,377,293,32,261,585,0.038303
1658137040.024843931,15,442,305,61,244,646,0.032197
1658137040.124804497,16,497,345,53,292,699,0.039715
1658137040.224885464,17,357,271,49,222,748,0.030026
1658137040.324917316,18,637,503,99,404,847,0.049180
1658137040.424757481,19,706,532,81,451,928,0.050488
1658137040.524852276,20,584,450,62,388,990,0.050445
1658137040.624824524,21,733,597,81,516,1071,0.059406
1658137040.724930048,22,431,347,51,296,1122,0.054639
1658137040.824769497,23,531,374,57,317,1179,0.041499
1658137040.924866199,24,521,383,57,326,1236,0.042376
1658137041.024715185,25,778,618,110,508,1346,0.201441
1658137041.124927521,26,328,230,41,189,1387,0.031679
1658137041.224772692,27,689,474,72,402,1459,0.057020
1658137041.324922085,28,714,552,87,465,1546,0.056001
1658137041.424759150,29,971,776,127,649,1673,0.076749
1658137041.524841309,30,1089,824,116,708,1789,0.092187
1658137041.624929428,31,971,732,140,592,1929,0.121104
1658137041.724767923,32,333,262,19,243,1948,0.038950
1658137041.824869633,33,727,582,85,497,2033,0.065853
1658137041.924714327,34,1334,1044,139,905,2172,0.102927
1658137042.024935007,35,968,721,83,638,2255,0.087842
1658137042.124760151,36,621,492,46,446,2301,0.062023
1658137042.224861860,37,817,663,86,577,2387,0.112459
1658137042.324903250,38,1698,1275,183,1092,2570,0.123866
1658137042.424739361,39,371,309,23,286,2593,0.042393
1658137042.524814606,40,1142,931,99,832,2692,0.108826
1658137042.624909639,41,1382,1093,105,988,2797,0.111265
1658137042.724750757,42,1597,1265,152,1113,2949,0.125823
1658137042.824854851,43,1566,1274,141,1133,3090,0.128671
1658137042.924814939,44,1227,976,75,901,3165,0.103626
1658137043.024902582,45,1645,1319,151,1168,3316,0.133952
1658137043.124729633,46,1288,1067,82,985,3398,0.114291
1658137043.224834442,47,2188,1690,181,1509,3579,0.181101
1658137043.324897289,48,1315,1068,81,987,3660,0.113967
1658137043.424738884,49,1623,1296,116,1180,3776,0.147993
1658137043.524831533,50,1761,1483,132,1351,3908,0.170422
1658137043.624813080,51,1399,1119,105,1014,4013,0.138732
1658137043.724911451,52,2283,1889,137,1752,4150,0.207294
1658137043.824754000,53,2006,1554,157,1397,4307,0.172131
1658137043.924834490,54,1862,1535,122,1413,4429,0.175566
1658137044.024915218,55,2224,1885,140,1745,4569,0.361172
1658137044.124754429,56,1650,1291,64,1227,4633,0.160371
1658137044.224855900,57,1625,1321,68,1253,4701,0.149791
1658137044.324722767,58,2100,1736,122,1614,4823,0.187408
1658137044.424809933,59,1991,1649,83,1566,4906,0.200270
1658137044.524908304,60,1407,1165,24,1141,4930,0.152705
1658137044.624745369,61,2135,1804,56,1748,4986,0.261372
1658137044.724828005,62,906,771,31,740,5017,0.114084
1658137044.824914217,63,2088,1732,47,1685,5064,0.191830
