timestamp_utc,timestamp_monotonic,elapsed_sec,latest_lidar_stamp,latest_odom_stamp,latest_clock_stamp,sensor_backlog_sec,clock_lag_sec,odom_message_count,lidar_message_count
2026-08-01T05:09:31.259564+00:00,1628.980062752,0.536006,,,,,,0,0
2026-08-01T05:09:31.759596+00:00,1629.480094757,1.036038,,,,,,0,0
2026-08-01T05:09:32.259538+00:00,1629.980037268,1.535981,,,,,,0,0
2026-08-01T05:09:32.759592+00:00,1630.480090824,2.036035,,,,,,0,0
2026-08-01T05:09:33.259494+00:00,1630.979993125,2.535937,,,,,,0,0
2026-08-01T05:09:33.759568+00:00,1631.480066744,3.036010,,,1658137027.7965763,,,0,0
2026-08-01T05:09:34.259554+00:00,1631.980053040,3.535997,,,1658137028.2965558,,,0,0
2026-08-01T05:09:34.759565+00:00,1632.480063877,4.036008,,,1658137028.7966044,,,0,0
2026-08-01T05:09:35.259618+00:00,1632.980116555,4.536060,,,1658137029.2966473,,,0,0
2026-08-01T05:09:35.759536+00:00,1633.480034930,5.035979,,,1658137029.7966602,,,0,0
2026-08-01T05:09:36.259537+00:00,1633.980036488,5.535980,,,1658137030.2966716,,,0,0
2026-08-01T05:09:36.759575+00:00,1634.480074269,6.036018,,,1658137030.7967193,,,0,0
2026-08-01T05:09:37.259559+00:00,1634.980057674,6.536001,,,1658137031.29672,,,0,0
2026-08-01T05:09:37.759564+00:00,1635.480062308,7.036006,,,1658137031.796749,,,0,0
2026-08-01T05:09:38.259561+00:00,1635.980058637,7.536002,,,1658137032.2967684,,,0,0
2026-08-01T05:09:38.759491+00:00,1636.479989812,8.035934,,,1658137027.7261987,,,0,0
2026-08-01T05:09:39.259520+00:00,1636.980018549,8.535962,1658137027.6249104,,1658137028.2262447,,,0,1
2026-08-01T05:09:39.759519+00:00,1637.480017582,9.035961,1658137028.2249177,,1658137028.7262554,,,0,3
2026-08-01T05:09:40.306581+00:00,1638.027081665,9.583025,1658137028.9247518,,1658137028.8762598,,,0,6
2026-08-01T05:09:40.763881+00:00,1638.484380239,10.040324,1658137029.324883,,1658137029.2762818,,,0,9
2026-08-01T05:09:41.375296+00:00,1639.095795522,10.651739,1658137029.8248312,,1658137029.8763235,,,0,13
2026-08-01T05:09:41.836739+00:00,1639.557238942,11.113183,1658137030.2247095,,1658137030.351341,,,0,16
2026-08-01T05:09:42.291796+00:00,1640.012296691,11.568240,1658137030.6248636,,1658137030.8013642,,,0,19
2026-08-01T05:09:42.898900+00:00,1640.619400547,12.175344,1658137031.1249156,,1658137031.4013968,,,0,23
2026-08-01T05:09:43.355796+00:00,1641.076291726,12.632235,1658137031.5248475,,1658137031.8514109,,,0,26
2026-08-01T05:09:43.814799+00:00,1641.535298638,13.091242,1658137031.924931,,1658137032.326427,,,0,29
2026-08-01T05:09:44.269138+00:00,1641.989638012,13.545582,1658137032.2248156,,1658137032.7764628,,,0,32
2026-08-01T05:09:44.882909+00:00,1642.603408184,14.159352,1658137032.7249086,,1658137033.3764892,,,0,36
2026-08-01T05:09:45.345080+00:00,1643.065580282,14.621524,1658137033.1247525,,1658137033.8515003,,,0,39
2026-08-01T05:09:45.803904+00:00,1643.524403572,15.080347,1658137033.4249046,,1658137034.3015141,,,0,42
2026-08-01T05:09:46.266177+00:00,1643.986676237,15.542620,1658137033.824914,,1658137034.7765484,,,0,45
2026-08-01T05:09:46.876699+00:00,1644.597199389,16.153143,1658137034.324867,,1658137035.376587,,,0,49
2026-08-01T05:09:47.340498+00:00,1645.060998185,16.616942,1658137034.724739,,1658137035.8515933,,,0,52
2026-08-01T05:09:47.803528+00:00,1645.524027630,17.079971,1658137035.1247237,,1658137036.3016105,,,0,55
2026-08-01T05:09:48.277958+00:00,1645.998458404,17.554402,1658137035.4247434,,1658137036.7766576,,,0,58
2026-08-01T05:09:48.890489+00:00,1646.610988484,18.166932,1658137035.9248335,,1658137037.401688,,,0,62
2026-08-01T05:09:49.349788+00:00,1647.070287925,18.626232,1658137036.324885,,1658137037.851691,,,0,65
2026-08-01T05:09:49.806164+00:00,1647.526663998,19.082608,1658137036.7247603,,1658137038.301713,,,0,68
2026-08-01T05:09:50.266292+00:00,1647.986791995,19.542736,1658137037.1248553,1658137038.824925,1658137038.7767248,-1.7000696659088135,-0.048200130462646484,2,71
2026-08-01T05:09:50.885088+00:00,1648.605587718,20.161531,1658137037.6248448,1658137039.2248914,1658137039.37676,-1.6000466346740723,0.15186858177185059,6,75
2026-08-01T05:09:51.359718+00:00,1649.080217290,20.636161,1658137038.0248406,1658137039.523622,1658137039.8517797,-1.498781442642212,0.3281576633453369,9,78
2026-08-01T05:09:51.821059+00:00,1649.541559346,21.097503,1658137038.5248973,1658137039.824906,1658137040.3268275,-1.300008773803711,0.5019214153289795,12,81
2026-08-01T05:09:52.284808+00:00,1650.005307953,21.561252,1658137038.8249295,1658137040.087602,1658137040.7768216,-1.2626724243164062,0.6892197132110596,15,84
