timestamp_sensor,timestamp_wall_utc,frame_index,kdtree_size_before,kdtree_size_after,points_added,points_deleted,scan_points_raw,scan_points_downsampled,effective_feature_points,nearest_search_ms,scan_match_ms,ekf_update_ms,map_insert_ms,map_delete_ms,map_update_ms,total_frame_ms,lidar_buffer_size,imu_buffer_size
1658137041.824869633,1785503057.065004826,33,2121,2240,206,0,72000,728,443,0.000000000,0.730016998,0.912395000,0.254533999,0.000537000,0.255071000,1.758524999,0,10
1658137041.924714327,1785503057.166587114,34,2240,2378,369,0,72000,1329,867,0.000000000,1.336651001,1.665944001,0.556499999,0.000528000,0.557027999,3.334969000,0,11
1658137042.024935007,1785503057.266624451,35,2378,2421,230,0,72000,980,626,0.000000000,0.992388999,1.248215000,0.535978999,0.000463000,0.536441999,2.537784001,0,15
1658137042.124760151,1785503057.389734745,36,2421,2505,119,0,72000,628,390,0.000000000,0.647884002,0.818021001,0.121080000,0.000471999,0.121551999,1.434398000,0,17
1658137042.224861860,1785503057.465419769,37,2505,2583,205,0,72000,818,568,0.000000000,0.813133000,1.041662001,0.469330000,0.000483000,0.469813000,2.158453000,0,15
1658137042.324903250,1785503057.567506790,38,2583,2725,455,0,72000,1695,1230,0.000000000,1.902492002,2.348218000,0.690683999,0.000436001,0.691120000,4.222611000,0,12
1658137042.424739361,1785503057.664345503,39,2725,2763,79,0,72000,367,213,0.000000000,0.452635999,0.575786000,0.127322000,0.000489999,0.127812000,1.070140001,0,19
1658137042.524814606,1785503057.765933514,40,2763,2899,281,0,72000,1141,780,0.000000000,1.180005000,1.478224001,0.382159002,0.000479000,0.382638002,2.683854000,0,18
1658137042.624909639,1785503057.866450787,41,2899,3057,328,0,72000,1375,1005,0.000000000,1.416502000,1.795851000,0.477733001,0.000484000,0.478217002,3.170243999,0,12
1658137042.724750757,1785503057.968568325,42,3057,3250,445,0,72000,1602,1152,0.000000000,1.743539002,2.121440999,0.573431000,0.000585000,0.574016000,3.758655001,0,17
1658137042.824854851,1785503058.066811562,43,3250,3374,358,0,72000,1563,1156,0.000000000,1.493951000,1.884210000,0.495627000,0.000531001,0.496158002,3.392887002,0,15
1658137042.924814939,1785503058.166157246,44,3374,3418,237,0,72000,1227,858,0.000000000,1.353229000,1.660208000,0.392442000,0.000538001,0.392980000,2.841901000,0,17
1658137043.024902582,1785503058.267163754,45,3418,3596,454,0,72000,1643,1181,0.000000000,1.743375000,2.130077999,0.707953999,0.000663000,0.708616999,3.863692998,0,19
1658137043.124729633,1785503058.366235733,46,3596,3738,269,0,72000,1285,952,0.000000000,1.468081999,1.795343000,0.322003001,0.000532000,0.322535001,2.930983999,0,18
1658137043.224834442,1785503058.469548702,47,3738,3915,553,0,72000,2192,1627,0.000000000,2.139943001,2.684075000,0.850934000,0.000534999,0.851469000,4.850485999,0,19
1658137043.324897289,1785503058.566706896,48,3915,3869,307,0,72000,1317,921,0.000000000,1.398618000,1.745482001,0.800455000,0.000612001,0.801067001,3.384610000,0,18
1658137043.424738884,1785503058.691945314,49,3869,3957,373,0,72000,1627,1081,0.000000000,1.640906001,2.047731999,0.639750999,0.000484000,0.640234999,3.582225001,0,15
1658137043.524831533,1785503058.766975641,50,3957,4150,342,0,72000,1764,1288,0.000000000,1.888621999,2.304067000,0.386512000,0.000484000,0.386996000,3.639807999,0,19
1658137043.624813080,1785503058.866468668,51,4150,4362,300,0,72000,1395,926,0.000000000,1.535185998,1.969550000,0.377550999,0.000571999,0.378122999,3.124247000,0,19
1658137043.724911451,1785503058.967970610,52,4362,4528,429,0,72000,2289,1645,0.000000000,2.174614998,2.715735000,0.571235001,0.000889000,0.572124001,4.635579000,0,18
1658137043.824754000,1785503059.067565680,53,4528,4661,381,0,72000,2006,1431,0.000000000,2.034633999,2.512015000,0.648578000,0.000663002,0.649241001,4.236037999,0,18
1658137043.924834490,1785503059.167293787,54,4661,4822,338,0,72000,1859,1220,0.000000000,1.981112000,2.415987999,0.468446999,0.000549000,0.468995999,3.945897999,0,17
