timestamp_utc,timestamp_monotonic,elapsed_sec,latest_lidar_stamp,latest_odom_stamp,latest_clock_stamp,sensor_backlog_sec,clock_lag_sec,odom_message_count,lidar_message_count
2026-08-01T05:38:26.266960+00:00,3364.067335060,0.533964,,,,,,0,0
2026-08-01T05:38:26.766751+00:00,3364.567127138,1.033756,,,,,,0,0
2026-08-01T05:38:27.266752+00:00,3365.067127691,1.533757,,,,,,0,0
2026-08-01T05:38:27.766760+00:00,3365.567136184,2.033766,,,,,,0,0
2026-08-01T05:38:28.266744+00:00,3366.067120208,2.533750,,,,,,0,0
2026-08-01T05:38:28.766767+00:00,3366.567142414,3.033772,,,,,,0,0
2026-08-01T05:38:29.266750+00:00,3367.067126196,3.533756,,,1658137027.6723452,,,0,0
2026-08-01T05:38:29.766749+00:00,3367.567125183,4.033755,,,1658137028.1723561,,,0,0
2026-08-01T05:38:30.266748+00:00,3368.067124039,4.533753,,,1658137028.6723852,,,0,0
2026-08-01T05:38:30.766766+00:00,3368.567140932,5.033770,,,1658137029.1724164,,,0,0
2026-08-01T05:38:31.266758+00:00,3369.067133730,5.533763,,,1658137029.6724286,,,0,0
2026-08-01T05:38:31.766772+00:00,3369.567147417,6.033777,,,1658137030.1724489,,,0,0
2026-08-01T05:38:32.266794+00:00,3370.067168517,6.533798,,,1658137030.6724918,,,0,0
2026-08-01T05:38:32.766787+00:00,3370.567162757,7.033792,,,1658137031.172515,,,0,0
2026-08-01T05:38:33.266790+00:00,3371.067165647,7.533795,,,1658137031.672514,,,0,0
2026-08-01T05:38:33.766793+00:00,3371.567168237,8.033798,,,1658137032.1725533,,,0,0
2026-08-01T05:38:34.266781+00:00,3372.067155689,8.533785,,,1658137032.672556,,,0,0
2026-08-01T05:38:34.807729+00:00,3372.608105281,9.074735,1658137027.7247493,,1658137027.8492203,,,0,2
2026-08-01T05:38:35.275242+00:00,3373.075618039,9.542247,1658137028.1248279,,1658137028.1492298,,,0,5
2026-08-01T05:38:35.907095+00:00,3373.707471605,10.174101,1658137028.6248615,,1658137028.7742627,,,0,9
2026-08-01T05:38:36.379732+00:00,3374.180108207,10.646738,1658137029.2247503,,1658137029.2492747,,,0,12
2026-08-01T05:38:36.843298+00:00,3374.643674963,11.110304,1658137029.5248208,,1658137029.6993034,,,0,15
2026-08-01T05:38:37.307761+00:00,3375.108137738,11.574767,1658137029.9249232,,1658137030.1743214,,,0,18
2026-08-01T05:38:37.775968+00:00,3375.576344432,12.042974,1658137030.2247095,,1658137030.6493454,,,0,21
2026-08-01T05:38:38.400133+00:00,3376.200507844,12.667137,1658137030.824921,,1658137031.2743716,,,0,25
2026-08-01T05:38:38.861165+00:00,3376.661541600,13.128171,1658137031.1249156,,1658137031.7243855,,,0,28
2026-08-01T05:38:39.328378+00:00,3377.128754913,13.595384,1658137031.5248475,,1658137032.1994119,,,0,31
2026-08-01T05:38:39.797522+00:00,3377.597897898,14.064527,1658137031.924931,,1658137032.6744492,,,0,34
2026-08-01T05:38:40.420105+00:00,3378.220479724,14.687109,1658137032.7249086,,1658137033.2994795,,,0,38
2026-08-01T05:38:40.890391+00:00,3378.690766028,15.157395,1658137033.0249116,,1658137033.7494836,,,0,41
2026-08-01T05:38:41.357770+00:00,3379.158146730,15.624776,1658137033.4249046,,1658137034.2245011,,,0,44
2026-08-01T05:38:41.828005+00:00,3379.628381868,16.095011,1658137033.824914,,1658137034.699524,,,0,47
2026-08-01T05:38:42.290011+00:00,3380.090382963,16.557012,1658137034.2249055,,1658137035.1495545,,,0,50
2026-08-01T05:38:42.913668+00:00,3380.714043845,17.180673,1658137034.724739,,1658137035.774571,,,0,54
2026-08-01T05:38:43.376188+00:00,3381.176564254,17.643194,1658137035.1247237,,1658137036.2495952,,,0,57
2026-08-01T05:38:43.847539+00:00,3381.647915957,18.114545,1658137035.5248456,,1658137036.7246127,,,0,60
2026-08-01T05:38:44.315723+00:00,3382.116098483,18.582728,1658137035.8247461,,1658137037.1746328,,,0,63
2026-08-01T05:38:44.784422+00:00,3382.584797937,19.051427,1658137036.2248769,,1658137037.6496725,,,0,66
2026-08-01T05:38:45.405988+00:00,3383.206364331,19.672994,1658137036.7247603,,1658137038.2746818,,,0,70
2026-08-01T05:38:45.876273+00:00,3383.676649178,20.143279,1658137037.1248553,1658137038.824925,1658137038.7497027,-1.7000696659088135,-0.07522225379943848,2,73
2026-08-01T05:38:46.339940+00:00,3384.140316299,20.606946,1658137037.5247536,1658137039.1232352,1658137039.199732,-1.5984816551208496,0.07649683952331543,5,76
2026-08-01T05:38:46.807998+00:00,3384.608373606,21.075003,1658137037.924741,1658137039.423654,1658137039.6747549,-1.498913049697876,0.2511007785797119,8,79
2026-08-01T05:38:47.277274+00:00,3385.077649460,21.544279,1658137038.3248565,1658137039.7217548,1658137040.1497598,-1.3968982696533203,0.4280049800872803,11,82
2026-08-01T05:38:47.899591+00:00,3385.699967099,22.166596,1658137038.7248406,1658137040.087602,1658137040.7747908,-1.3627612590789795,0.6871888637542725,15,86
2026-08-01T05:38:48.361991+00:00,3386.162367714,22.628997,1658137039.124808,1658137040.4073136,1658137041.2248113,-1.2825055122375488,0.817497730255127,18,89
2026-08-01T05:38:48.827309+00:00,3386.627684787,23.094314,1658137039.6247466,1658137040.7249258,1658137041.6998575,-1.1001791954040527,0.9749317169189453,21,92
2026-08-01T05:38:49.295225+00:00,3387.095599823,23.562229,1658137040.0248442,1658137041.0247107,1658137042.174877,-0.9998664855957031,1.1501662731170654,24,95
2026-08-01T05:38:49.918271+00:00,3387.718647572,24.185277,1658137040.4247575,1658137041.4247549,1658137042.7748806,-0.9999973773956299,1.350125789642334,28,99
2026-08-01T05:38:50.383699+00:00,3388.184074904,24.650704,1658137040.9248662,1658137041.7075574,1658137043.2499044,-0.782691240310669,1.5423469543457031,31,102
