checkpoint_timestamp,voxel_x,voxel_y,voxel_z,first_seen_time,last_seen_time,total_point_hits,observed_frames,active_time_bins,sum_x,sum_y,sum_z
1658137044.824914217,0,-4,-3,1658137038.824929476,1658137044.824914217,155,50,1,34.818215370,-542.001544237,-387.649796963
1658137044.824914217,-1,0,-4,1658137038.824929476,1658137038.924761057,3,2,1,-0.397604600,1.071601599,-11.651679516
1658137044.824914217,0,0,-5,1658137038.824929476,1658137044.824914217,158,40,1,54.350410551,77.489432415,-706.238502502
1658137044.824914217,0,-3,2,1658137038.924761057,1658137044.624745369,138,43,1,15.123789303,-347.155572176,342.376527548
1658137044.824914217,-1,0,2,1658137038.924761057,1658137044.324722767,14,8,1,-3.864200203,4.027732956,30.853357553
1658137044.824914217,0,-5,-1,1658137038.924761057,1658137044.824914217,222,57,1,46.716161579,-991.158106327,-106.071320889
1658137044.824914217,0,-5,0,1658137038.924761057,1658137044.824914217,210,52,1,41.076130569,-948.302122116,106.000576210
1658137044.824914217,0,-4,-4,1658137038.924761057,1658137044.824914217,156,42,1,38.681581885,-542.870282173,-544.179988623
1658137044.824914217,0,-3,-5,1658137038.924761057,1658137044.624745369,121,34,1,31.488641262,-307.109890223,-541.818902493
1658137044.824914217,-1,-2,-1,1658137039.024845600,1658137039.024845600,1,1,1,-0.054155529,-1.003657699,-0.849939644
1658137044.824914217,0,-5,-2,1658137039.024845600,1658137044.824914217,180,49,1,40.024564818,-808.579969406,-262.164703012
1658137044.824914217,-1,1,-2,1658137039.024845600,1658137044.524908304,4,4,1,-0.205596176,4.987929583,-7.525194883
1658137044.824914217,0,-5,-3,1658137039.024845600,1658137044.824914217,157,43,1,37.253413275,-702.715436935,-386.790796518
1658137044.824914217,-1,0,-5,1658137039.024845600,1658137039.024845600,1,1,1,-0.148465231,0.035962682,-4.329842091
1658137044.824914217,-1,-1,-5,1658137039.024845600,1658137039.224895239,8,3,1,-1.844836514,-4.146124944,-33.969871521
1658137044.824914217,-1,-1,-4,1658137039.024845600,1658137039.224895239,7,3,1,-1.497982420,-2.668330491,-26.629066467
1658137044.824914217,0,0,3,1658137039.124808073,1658137044.824914217,83,33,1,4.782803853,36.905506955,280.720275640
1658137044.824914217,0,-2,3,1658137039.124808073,1658137044.824914217,98,36,1,6.010081295,-145.723762393,337.749762774
1658137044.824914217,0,-3,3,1658137039.124808073,1658137044.624745369,124,36,1,9.808596440,-311.897310972,433.133022070
1658137044.824914217,-1,-1,1,1658137039.124808073,1658137044.824914217,156,37,1,-44.608849478,-61.116765173,235.116968274
1658137044.824914217,0,-4,2,1658137039.124808073,1658137044.624745369,149,37,1,19.480769113,-523.787643194,367.785982847
1658137044.824914217,0,1,2,1658137039.124808073,1658137044.824914217,121,35,1,15.846084557,176.412203789,306.771958590
1658137044.824914217,0,-5,2,1658137039.124808073,1658137044.824914217,156,44,1,24.059954882,-699.189011574,383.871547699
1658137044.824914217,0,2,1,1658137039.124808073,1658137044.824914217,131,35,1,28.774976417,324.552652597,194.179844618
1658137044.824914217,0,-5,1,1658137039.124808073,1658137044.824914217,183,48,1,31.722719200,-819.459730148,272.922722816
1658137044.824914217,0,-6,-3,1658137039.124808073,1658137044.824914217,165,46,1,41.590966552,-917.914454937,-410.889860153
1658137044.824914217,0,-6,-2,1658137039.124808073,1658137044.824914217,175,49,1,43.413528904,-965.425290108,-266.840830684
1658137044.824914217,0,-5,-4,1658137039.124808073,1658137044.824914217,120,38,1,31.346734464,-540.732356071,-418.630354166
1658137044.824914217,0,-1,-6,1658137039.124808073,1658137044.724828005,108,31,1,41.792743444,-55.220075564,-592.991865635
1658137044.824914217,0,-4,-5,1658137039.124808073,1658137044.824914217,135,38,1,36.202435777,-474.132641077,-603.613509178
1658137044.824914217,0,-1,3,1658137039.124808073,1658137044.824914217,118,33,1,7.243738348,-54.956367426,412.136173248
1658137044.824914217,0,-5,-5,1658137039.124808073,1658137044.824914217,122,39,1,34.120565236,-546.866146088,-548.146868706
1658137044.824914217,0,-4,3,1658137039.224895239,1658137044.624745369,118,35,1,11.725125678,-415.647145748,413.317209721
1658137044.824914217,0,-6,1,1658137039.224895239,1658137044.824914217,189,47,1,36.174444325,-1034.243333817,279.960334420
1658137044.824914217,0,-6,0,1658137039.224895239,1658137044.824914217,212,51,1,46.638825338,-1164.067530155,107.685512557
1658137044.824914217,0,-6,-1,1658137039.224895239,1658137044.824914217,199,51,1,47.552799985,-1092.429507732,-100.112067496
1658137044.824914217,0,1,-5,1658137039.224895239,1658137044.824914217,130,36,1,45.570337653,194.141611814,-583.328368187
1658137044.824914217,0,-6,-4,1658137039.224895239,1658137044.824914217,128,41,1,34.728789594,-703.442011356,-454.710415363
1658137044.824914217,0,-2,-6,1658137039.224895239,1658137044.624745369,94,29,1,29.302835478,-140.579667807,-514.747417927
1658137044.824914217,0,-3,-6,1658137039.224895239,1658137044.624745369,99,26,1,27.668784181,-244.727247000,-542.462833405
1658137044.824914217,0,-1,4,1658137039.424824715,1658137044.824914217,75,26,1,2.317020500,-36.412289342,333.861549854
1658137044.824914217,0,-2,4,1658137039.424824715,1658137044.824914217,89,25,1,3.550683392,-137.024210095,402.541444302
1658137044.824914217,0,-6,2,1658137039.424824715,1658137044.824914217,142,36,1,22.009196751,-779.853713989,355.480008125
1658137044.824914217,0,-7,1,1658137039.424824715,1658137044.824914217,166,41,1,24.010165952,-1077.577559948,245.911986351
