metric,mean,sample_std,min,max,n
frame_count,13334.0,0.0,13334.0,13334.0,3
trajectory_message_count,13334.0,0.0,13334.0,13334.0,3
sensor_duration_sec,1333.2999830245972,0.0,1333.2999830245972,1333.2999830245972,3
trajectory_path_length_m,4916.967129593494,0.7459844511484398,4916.114846568746,4917.501451675518,3
total_frame_ms_mean,14.027753395584021,0.10632634464027153,13.906759296461976,14.106295182543947,3
total_frame_ms_p50,14.402904667,0.14008199922965614,14.250872000000001,14.526749000999999,3
total_frame_ms_p95,17.963284266666662,0.14324963234048818,17.80821039964999,18.090666249999998,3
total_frame_ms_p99,21.206168333780003,0.17331597921103578,21.00953257,21.336723010670003,3
total_frame_ms_max,75.63107499966667,2.6512790361173164,73.714986,78.656903999,3
rss_mib_initial,142.81266666666667,0.2707772762499311,142.5,142.969,3
rss_mib_final,636.1886666666667,49.81449268368927,597.648,692.438,3
rss_mib_peak,723.5493333333334,55.78479026879403,673.582,783.738,3
rss_mib_slope_per_min,15.570578631246125,2.5452154419427386,14.057433385338607,18.50910341785847,3
rss_linear_regression_r2,0.5175759486044563,0.07779809109298758,0.4287814706668802,0.5737714286946056,3
process_cpu_percent_mean,60.044628176930594,0.3936202502658451,59.60083797653958,60.35152089442815,3
process_cpu_percent_peak,130.46166666666667,10.994092292378362,117.821,137.797,3
kdtree_points_initial,113.66666666666667,6.027713773341708,108.0,120.0,3
kdtree_points_final,783665.3333333334,114062.44742391483,688749.0,910202.0,3
kdtree_points_peak,1355438.0,206672.3982949828,1173301.0,1580047.0,3
kdtree_points_slope_per_min,15145.894445482538,3611.4717009137275,12303.50169563976,19209.69000269238,3
kdtree_linear_regression_r2,0.11594766922286896,0.0762198693467906,0.06796756239672586,0.20383530079783763,3
rss_kdtree_pearson,0.645361227998228,0.050188126519372836,0.6131468508571607,0.7031879979734736,3
lidar_buffer_max,1.0,0.0,1.0,1.0,3
imu_buffer_max,40.0,0.0,40.0,40.0,3
sensor_backlog_sec_max_raw,9.702122211456299,0.0,9.702122211456299,9.702122211456299,3
sensor_backlog_sec_max_valid_window,0.5005812644958496,0.5191359210321274,0.1999361515045166,1.1000268459320068,3
clock_lag_sec_max_raw,9.971330642700195,0.002785022714799305,9.969504833221436,9.974536180496216,3
drain_time_sec,3.0349583380005547,0.00040956032425480254,3.0345566690011765,3.0353753580002376,3
docker_sample_count,613.0,0.0,613.0,613.0,3
docker_cpu_percent_mean,162.86225666122894,0.28085197515448584,162.56641109298533,163.12522022838502,3
docker_cpu_percent_peak,203.30666666666667,5.075838190223697,197.5,206.9,3
docker_memory_mib_peak,3611.9893333333334,42.88999684464109,3562.496,3638.272,3
nearest_search_ms_mean,0.0,0.0,0.0,0.0,3
nearest_search_ms_p95,0.0,0.0,0.0,0.0,3
nearest_search_ms_p99,0.0,0.0,0.0,0.0,3
scan_match_ms_mean,8.965673161554047,0.03997380035971973,8.920228295938504,8.995394012546496,3
scan_match_ms_p95,11.370701599899999,0.04058052265864263,11.326054799349997,11.405344749349998,3
scan_match_ms_p99,12.707203913336667,0.097948103111658,12.617636970340001,12.81179668967,3
ekf_update_ms_mean,9.92613114844033,0.05530130562673237,9.869380023089622,9.979858569678568,3
ekf_update_ms_p95,12.470258216683332,0.02930382849433438,12.437383699349999,12.493635500349999,3
ekf_update_ms_p99,13.858746409333333,0.035626347659459934,13.82467029967,13.895743189330002,3
map_insert_ms_mean,2.8806929343492826,0.05944083183297774,2.812132310635218,2.9177648668736316,3
map_insert_ms_p95,4.587788134233329,0.046490629910159294,4.535165800699997,4.62329420064999,3
map_insert_ms_p99,7.372504726776668,0.1924448462505399,7.26007345,7.594715620670002,3
map_delete_ms_mean,0.007342188116144193,0.00048451228744396353,0.0068261790160491975,0.00778741743257837,3
map_delete_ms_p95,0.0009627827666666662,6.424198370663332e-05,0.000901999,0.001029999,3
map_delete_ms_p99,0.0011607831133333335,9.129871244435734e-05,0.00108466967,0.0012620103400000002,3
map_update_ms_mean,2.8880351224639766,0.05907027623463167,2.819919728059097,2.925177834777636,3
map_update_ms_p95,4.599650567649998,0.04361513959908107,4.550889600599998,4.634942351349998,3
map_update_ms_p99,7.536390620556667,0.16213544400208463,7.369626009,7.6934619720000015,3
