group,voxel_count,voxel_share,point_hits,point_hit_share,score_mean,score_median
low,380131,0.3000000789201825,1597413,0.018562193964214883,0.4492809833572596,0.44653314369610564
medium,506841,0.399999842159635,25906867,0.3010419285802217,0.6550865437759801,0.6622132218848173
high,380131,0.3000000789201825,58553058,0.6803958774555634,0.7367456242246884,0.727600007534
