run_id,frames,mean_total_frame_ms,p95_total_frame_ms,p99_total_frame_ms,max_total_frame_ms,samples,initial_rss_mib,final_rss_mib,peak_rss_mib,mean_cpu_percent,peak_cpu_percent
performance_01,13334,13.906759296461976,17.80821039964999,21.27224942067,78.656903999,2728,142.969,597.648,673.582,59.60083797653958,117.821
performance_02,13334,14.070205707746139,18.090666249999998,21.336723010670003,73.714986,2728,142.5,618.48,713.328,60.18152565982405,137.797
performance_03,13334,14.106295182543947,17.990976150349997,21.00953257,74.521335,2728,142.969,692.438,783.738,60.35152089442815,135.767
b2_full_02,13334,14.528806605674365,18.743118499999998,22.02592171,83.456719,2741,154.062,805.859,811.938,63.01977635899306,139.752
