timestamp_utc,timestamp_monotonic,elapsed_sec,latest_lidar_stamp,latest_odom_stamp,latest_clock_stamp,sensor_backlog_sec,clock_lag_sec,odom_message_count,lidar_message_count
2026-07-31T06:19:18.674627+00:00,7003.824765748,0.510331,,,,,,0,0
2026-07-31T06:19:19.174590+00:00,7004.324729226,1.010294,,,,,,0,0
2026-07-31T06:19:19.674561+00:00,7004.824701837,1.510267,,,,,,0,0
2026-07-31T06:19:20.174576+00:00,7005.324714475,2.010279,,,,,,0,0
2026-07-31T06:19:20.674639+00:00,7005.824777253,2.510342,,,,,,0,0
2026-07-31T06:19:21.174643+00:00,7006.324781687,3.010347,,,,,,0,0
2026-07-31T06:19:21.674500+00:00,7006.824640337,3.510205,,,,,,0,0
2026-07-31T06:19:22.175739+00:00,7007.325880806,4.011446,1658137028.1248279,,1658137028.239847,,,0,2
2026-07-31T06:19:22.782567+00:00,7007.932709092,4.618274,1658137028.6248615,,1658137028.6648755,,,0,6
2026-07-31T06:19:23.235246+00:00,7008.385386732,5.070952,1658137029.0248451,,1658137029.1148896,,,0,9
2026-07-31T06:19:23.694167+00:00,7008.844308651,5.529874,1658137029.324883,,1658137029.5899143,,,0,12
2026-07-31T06:19:24.304304+00:00,7009.454445221,6.140010,1658137029.8248312,,1658137030.1899452,,,0,16
2026-07-31T06:19:24.753156+00:00,7009.903297629,6.588863,1658137030.2247095,,1658137030.6399508,,,0,19
2026-07-31T06:19:25.203102+00:00,7010.353242705,7.038808,1658137030.5247743,,1658137031.0899897,,,0,22
2026-07-31T06:19:25.810180+00:00,7010.960320880,7.645886,1658137031.0248365,,1658137031.6900146,,,0,26
2026-07-31T06:19:26.275001+00:00,7011.425142387,8.110707,1658137031.424761,,1658137032.1650565,,,0,29
2026-07-31T06:19:26.725249+00:00,7011.875388934,8.560954,1658137031.7248912,,1658137032.615067,,,0,32
2026-07-31T06:19:27.183655+00:00,7012.333796449,9.019361,1658137032.1248643,,1658137033.06508,,,0,35
2026-07-31T06:19:27.789884+00:00,7012.940024443,9.625589,1658137032.6248214,,1658137033.6901097,,,0,39
2026-07-31T06:19:28.245751+00:00,7013.395892783,10.081458,1658137032.92483,,1658137034.1401267,,,0,42
2026-07-31T06:19:28.702160+00:00,7013.852301196,10.537866,1658137033.3248124,,1658137034.5901449,,,0,45
2026-07-31T06:19:29.307115+00:00,7014.457256924,11.142822,1658137033.824914,,1658137035.190177,,,0,49
2026-07-31T06:19:29.769836+00:00,7014.919976002,11.605541,1658137034.324867,,1658137035.6651886,,,0,52
2026-07-31T06:19:30.229507+00:00,7015.379648160,12.065213,1658137034.624908,,1658137036.1152174,,,0,55
2026-07-31T06:19:30.685531+00:00,7015.835671415,12.521236,1658137035.0248935,,1658137036.5652475,,,0,58
2026-07-31T06:19:31.296059+00:00,7016.446200482,13.131765,1658137035.5248456,,1658137037.1902642,,,0,62
2026-07-31T06:19:31.758542+00:00,7016.908683422,13.594248,1658137035.9248335,,1658137037.6402965,,,0,65
2026-07-31T06:19:32.211266+00:00,7017.361407197,14.046972,1658137036.324885,,1658137038.0903115,,,0,68
2026-07-31T06:19:32.814328+00:00,7017.964469098,14.650034,1658137036.7247603,1658137038.824925,1658137038.7153451,-2.1001646518707275,-0.10957980155944824,2,72
2026-07-31T06:19:33.261798+00:00,7018.411939166,15.097504,1658137037.1248553,1658137039.1232352,1658137039.1403232,-1.9983799457550049,0.017087936401367188,5,75
2026-07-31T06:19:33.720751+00:00,7018.870892276,15.556457,1658137037.5247536,1658137039.423654,1658137039.6153727,-1.8989005088806152,0.19171857833862305,8,78
2026-07-31T06:19:34.327483+00:00,7019.477624417,16.163189,1658137038.124919,1658137039.824906,1658137040.2154052,-1.6999871730804443,0.3904991149902344,12,82
2026-07-31T06:19:34.781344+00:00,7019.931485699,16.617051,1658137038.4248128,1658137040.087602,1658137040.665471,-1.6627891063690186,0.577869176864624,15,85
2026-07-31T06:19:35.234208+00:00,7020.384349347,17.069914,1658137038.924761,1658137040.4073136,1658137041.1154516,-1.4825525283813477,0.7081379890441895,18,88
2026-07-31T06:19:35.691757+00:00,7020.841898535,17.527463,1658137039.2248952,1658137040.7249258,1658137041.5904768,-1.500030517578125,0.8655509948730469,21,91
2026-07-31T06:19:36.299550+00:00,7021.449690911,18.135256,1658137039.924752,1658137041.1218913,1658137042.1904964,-1.1971392631530762,1.0686051845550537,25,95
2026-07-31T06:19:36.748974+00:00,7021.899115339,18.584680,1658137040.4247575,1658137041.4247549,1658137042.640509,-0.9999973773956299,1.2157540321350098,28,98
2026-07-31T06:19:37.202643+00:00,7022.354264883,19.039830,1658137041.0247152,1658137041.7075574,1658137043.090544,-0.6828422546386719,1.3829865455627441,31,101
2026-07-31T06:19:37.806763+00:00,7022.958385016,19.643950,1658137041.724768,1658137042.1247559,1658137043.6905596,-0.39998793601989746,1.5658037662506104,35,105
2026-07-31T06:19:38.259284+00:00,7023.410906163,20.096471,1658137042.324903,1658137042.5204744,1658137044.1405885,-0.1955714225769043,1.6201140880584717,38,108
2026-07-31T06:19:38.715381+00:00,7023.867002634,20.552568,1658137042.8248549,1658137043.0248988,1658137044.6156137,-0.2000439167022705,1.590714931488037,41,111
2026-07-31T06:19:39.318404+00:00,7024.470026619,21.155592,1658137043.3248973,1658137043.6229703,1658137045.2156296,-0.29807305335998535,1.5926592350006104,45,115
2026-07-31T06:19:39.780032+00:00,7024.931654402,21.617219,1658137043.7249112,1658137044.1099017,1658137045.6656406,-0.3849904537200928,1.555738925933838,48,118
2026-07-31T06:19:40.229878+00:00,7025.381499973,22.067065,1658137044.224856,1658137044.524904,1658137046.1156642,-0.3000481128692627,1.5907602310180664,51,121
2026-07-31T06:19:40.679757+00:00,7025.831378987,22.516944,1658137044.524908,1658137045.0244179,1658137046.5656958,-0.4995098114013672,1.5412778854370117,54,124
2026-07-31T06:19:41.286543+00:00,7026.438164722,23.123730,1658137045.2249062,1658137045.6239812,1658137047.1657186,-0.3990750312805176,1.5417373180389404,58,128
2026-07-31T06:19:41.741056+00:00,7026.892677739,23.578243,1658137045.724925,1658137046.024792,1658137047.6407387,-0.2998669147491455,1.6159467697143555,61,131
2026-07-31T06:19:42.197648+00:00,7027.349270473,24.034835,1658137046.1248922,1658137046.524822,1658137048.0907607,-0.3999297618865967,1.5659387111663818,64,134
2026-07-31T06:19:42.801911+00:00,7027.953533115,24.639098,1658137046.724753,1658137047.1247168,1658137048.6907895,-0.3999638557434082,1.566072702407837,68,138
2026-07-31T06:19:43.282346+00:00,7028.433968273,25.119533,1658137047.1247413,1658137047.6110926,1658137049.1658125,-0.48635125160217285,1.5547199249267578,71,141
2026-07-31T06:19:43.741349+00:00,7028.892970631,25.578536,1658137047.4248264,1658137048.0247707,1658137049.6408339,-0.5999443531036377,1.616063117980957,74,144
2026-07-31T06:19:44.195837+00:00,7029.347458473,26.033023,1658137047.7248685,1658137048.5249128,1658137050.0908563,-0.8000442981719971,1.5659434795379639,77,147
2026-07-31T06:19:44.801925+00:00,7029.953546652,26.639112,1658137048.2248302,1658137049.1248453,1658137050.690885,-0.900015115737915,1.566039800643921,81,151
2026-07-31T06:19:45.246276+00:00,7030.397898181,27.083463,1658137048.624762,1658137049.5216117,1658137051.1409056,-0.8968496322631836,1.6192939281463623,84,154
2026-07-31T06:19:45.704007+00:00,7030.855627593,27.541192,1658137049.3248384,1658137050.0249214,1658137051.5909138,-0.7000830173492432,1.5659923553466797,87,157
2026-07-31T06:19:46.305664+00:00,7031.457286008,28.142851,1658137049.9247234,1658137050.6236956,1658137052.1909552,-0.698972225189209,1.5672595500946045,91,161
2026-07-31T06:19:46.753034+00:00,7031.904655521,28.590220,1658137050.5247686,1658137051.0240653,1658137052.6409662,-0.4992966651916504,1.61690092086792,94,164
2026-07-31T06:19:47.209880+00:00,7032.361501943,29.047067,1658137050.8248873,1658137051.5135782,1658137053.0909925,-0.6886909008026123,1.5774142742156982,97,167
2026-07-31T06:19:47.818917+00:00,7032.970538686,29.656104,1658137051.6247635,1658137052.1216557,1658137053.716009,-0.49689221382141113,1.594353199005127,101,171
2026-07-31T06:19:48.267184+00:00,7033.418805549,30.104370,1658137052.1248457,1658137052.6159117,1658137054.1661062,-0.49106597900390625,1.550194501876831,104,174
2026-07-31T06:19:48.729197+00:00,7033.880817664,30.566383,1658137052.8247368,1658137053.0240207,1658137054.6160495,-0.19928383827209473,1.5920288562774658,107,177
2026-07-31T06:19:49.189367+00:00,7034.340988952,31.026554,1658137053.2248611,1658137053.524744,1658137055.0910935,-0.2998828887939453,1.5663495063781738,110,180
2026-07-31T06:19:49.794594+00:00,7034.946215397,31.631780,1658137053.8249245,1658137054.1158915,1658137055.6910956,-0.2909669876098633,1.5752041339874268,114,184
2026-07-31T06:19:50.247100+00:00,7035.398721493,32.084286,1658137054.3247457,1658137054.5235739,1658137056.1411312,-0.19882822036743164,1.6175572872161865,117,187
