timestamp,x,y,z,qx,qy,qz,qw
1658137038.7248368,-3.508148006755004,2.214701563913011,-3.611374260406545,0.02730743574139895,-0.02314519433555189,-0.003571466822398634,0.999352714789492
1658137038.824925,-3.8663158959244277,2.1874446129157854,-3.4844015108986697,0.03196528653922116,-0.018644100999642345,-0.004723586478176652,0.999303910572332
1658137038.924757,-4.211475082701275,1.9630726785857828,-3.4465051212811653,0.020505022305619795,-0.011686234019535847,-0.00881946782985956,0.9996825461024501
1658137039.0248413,-4.5748681577139205,1.7157764031920923,-3.330481598165851,0.000744464195669166,-0.008982189007721245,-0.007831173945928261,0.9999287168435115
1658137039.1232352,-4.926394124875134,1.6168282818107316,-3.1901751061181405,-0.006061559596200943,-0.01187384720761121,-0.008594709973904933,0.9998741921903015
1658137039.2248914,-5.281983930604957,1.5155991047407873,-3.0869975972181773,-0.014839468069360878,-0.01547723073630553,-0.012026644546901248,0.9996977569931265
1658137039.3248525,-5.638067009008707,1.3789686690937681,-3.042319899120022,-0.005030426171984621,-0.020023643938074105,-0.010783453226352867,0.999728696013312
1658137039.423654,-5.983770579949507,1.249467200945432,-2.9592515425494192,-0.0029918476336375736,-0.02181972981309354,-0.014261018695572607,0.999655726530078
1658137039.523622,-6.331655192953727,1.0145861339391167,-2.8954528219920275,-0.04125070044811982,-0.021197902940625544,-0.01577728892117223,0.9987993320871563
1658137039.623708,-6.687318269543375,0.8673406474562769,-2.8062780368018307,-0.035251630850719,-0.023294655780491575,-0.01151572755978033,0.9990405745279788
1658137039.7217548,-7.028977334898224,0.6038797367410991,-2.80436605419101,-0.057336751373301235,-0.019984341287216288,-0.014348380214634734,0.9980517256287273
1658137039.824906,-7.374159142735882,0.5336247629839502,-2.8418478788424224,-0.06564414464984152,-0.01789476311341238,-0.015384954354914892,0.9975639963961176
1658137039.9247477,-7.715827323923291,0.4021030039906054,-2.7730011404657127,-0.06077217193180579,-0.015992814079672246,-0.01602867093868671,0.9978948114528066
1658137040.023597,-8.052844522618342,0.37434565487302074,-2.689336677252319,-0.06112454899244427,-0.01342066653563618,-0.016654637975161722,0.9979009461134477
1658137040.087602,-8.273670730368286,0.3210437021717021,-2.661557896405576,-0.06590540807634546,-0.0105302062689361,-0.02102198232295159,0.9975488299834882
1658137040.2089803,-8.699469548064812,0.22869404770934926,-2.6014303612076306,-0.059321590793434534,-0.010763369139163377,-0.022479186288393252,0.9979277453474829
1658137040.3082232,-9.050635198612751,0.2386823611445542,-2.553271316463857,-0.05550807806837097,-0.014681899744273356,-0.020024977661717194,0.9981494353846476
1658137040.4073136,-9.403537454083702,0.23635946918307324,-2.5766803234010744,-0.04921264431379301,-0.018306241715231434,-0.01736948518225798,0.9984694778201278
1658137040.5248477,-9.828808038704501,0.23267543068735932,-2.5735582527032497,-0.04294177709402679,-0.020191848534455815,-0.014862983095753412,0.9987629272085801
