timestamp_utc,timestamp_monotonic,elapsed_sec,latest_lidar_stamp,latest_odom_stamp,latest_clock_stamp,sensor_backlog_sec,clock_lag_sec,odom_message_count,lidar_message_count
2026-08-01T05:08:14.906821+00:00,1552.623377703,0.546867,,,,,,0,0
2026-08-01T05:08:15.406841+00:00,1553.123395799,1.046885,,,,,,0,0
2026-08-01T05:08:15.906796+00:00,1553.623353389,1.546843,,,,,,0,0
2026-08-01T05:08:16.406793+00:00,1554.123350795,2.046840,,,,,,0,0
2026-08-01T05:08:16.906768+00:00,1554.623326582,2.546816,,,,,,0,0
2026-08-01T05:08:17.406783+00:00,1555.123340923,3.046830,,,1658137027.8709671,,,0,0
2026-08-01T05:08:17.906783+00:00,1555.623341778,3.546831,,,1658137028.3710058,,,0,0
2026-08-01T05:08:18.406786+00:00,1556.123343542,4.046833,,,1658137028.8710465,,,0,0
2026-08-01T05:08:18.906778+00:00,1556.623335505,4.546825,,,1658137029.3710492,,,0,0
2026-08-01T05:08:19.406779+00:00,1557.123336192,5.046826,,,1658137029.8710933,,,0,0
2026-08-01T05:08:19.906769+00:00,1557.623327876,5.546817,,,1658137030.3711076,,,0,0
2026-08-01T05:08:20.406775+00:00,1558.123332831,6.046822,,,1658137030.8711164,,,0,0
2026-08-01T05:08:20.906836+00:00,1558.623393616,6.546883,,,1658137031.371154,,,0,0
2026-08-01T05:08:21.406804+00:00,1559.123361258,7.046851,,,1658137031.8711817,,,0,0
2026-08-01T05:08:21.906787+00:00,1559.623344333,7.546834,,,1658137032.3711932,,,0,0
2026-08-01T05:08:22.406785+00:00,1560.123342470,8.046832,,,1658137027.8046055,,,0,0
2026-08-01T05:08:22.915421+00:00,1560.631979424,8.555469,1658137027.9248989,,1658137027.8796113,,,0,3
2026-08-01T05:08:23.550294+00:00,1561.266852931,9.190342,1658137028.4249322,,1658137028.479651,,,0,7
2026-08-01T05:08:24.023744+00:00,1561.740302408,9.663792,1658137028.8249261,,1658137028.9546702,,,0,10
2026-08-01T05:08:24.499257+00:00,1562.216799067,10.140289,1658137029.1249151,,1658137029.4296873,,,0,13
