timestamp,frame_index,input_points,observed_voxels,new_voxels,reobserved_voxels,total_tracked_voxels,elapsed_ms
1658137038.624750853,1,106,31,31,0,31,0.009340
1658137038.724840641,2,145,37,6,31,37,0.007761
1658137038.824929476,3,220,48,12,36,49,0.015079
1658137038.924761057,4,212,52,7,45,56,0.014797
1658137039.024845600,5,172,46,2,44,58,0.011395
1658137039.124808073,6,300,73,18,55,76,0.015829
1658137039.224895239,7,321,78,8,70,84,0.019278
1658137039.324856758,8,81,26,3,23,87,0.009180
1658137039.424824715,9,274,72,7,65,94,0.015822
1658137039.524910688,10,239,63,5,58,99,0.011994
1658137039.624746561,11,437,117,30,87,129,0.024040
1658137039.724836588,12,523,131,14,117,143,0.028068
1658137039.824910402,13,416,104,7,97,150,0.027389
1658137039.924752235,14,373,112,6,106,156,0.019414
1658137040.024843931,15,447,117,16,101,172,0.064872
1658137040.124804497,16,502,140,21,119,193,0.028141
1658137040.224885464,17,357,109,13,96,206,0.022863
1658137040.324917316,18,637,183,22,161,228,0.029633
1658137040.424757481,19,708,201,22,179,250,0.031081
1658137040.524852276,20,583,178,18,160,268,0.030421
1658137040.624824524,21,738,219,22,197,290,0.033181
1658137040.724930048,22,431,138,15,123,305,0.022541
1658137040.824769497,23,528,153,12,141,317,0.027541
1658137040.924866199,24,521,164,17,147,334,0.025801
1658137041.024715185,25,779,245,31,214,365,0.043844
1658137041.124927521,26,326,102,14,88,379,0.023511
1658137041.224772692,27,683,203,21,182,400,0.028713
1658137041.324922085,28,717,230,29,201,429,0.034246
1658137041.424759150,29,962,293,35,258,464,0.048262
1658137041.524841309,30,1085,320,33,287,497,0.045113
1658137041.624929428,31,969,295,37,258,534,0.044509
1658137041.724767923,32,332,122,7,115,541,0.019402
1658137041.824869633,33,732,228,23,205,564,0.033802
1658137041.924714327,34,1329,404,36,368,600,0.052122
1658137042.024935007,35,974,286,23,263,623,0.052850
1658137042.124760151,36,626,211,7,204,630,0.036816
1658137042.224861860,37,816,279,19,260,649,0.042158
1658137042.324903250,38,1695,484,58,426,707,0.077603
1658137042.424739361,39,364,138,6,132,713,0.025546
1658137042.524814606,40,1138,368,28,340,741,0.052371
1658137042.624909639,41,1373,422,25,397,766,0.051527
1658137042.724750757,42,1599,470,39,431,805,0.065948
1658137042.824854851,43,1564,488,42,446,847,0.063034
1658137042.924814939,44,1216,379,20,359,867,0.064669
1658137043.024902582,45,1648,502,42,460,909,0.071992
1658137043.124729633,46,1287,411,17,394,926,0.060356
1658137043.224834442,47,2187,612,50,562,976,0.083104
1658137043.324897289,48,1314,419,20,399,996,0.058079
1658137043.424738884,49,1619,497,26,471,1022,0.065996
1658137043.524831533,50,1763,554,26,528,1048,0.075225
1658137043.624813080,51,1395,446,32,414,1080,0.060610
1658137043.724911451,52,2289,693,33,660,1113,0.087857
1658137043.824754000,53,2011,574,36,538,1149,0.078501
1658137043.924834490,54,1857,596,28,568,1177,0.230200
1658137044.024915218,55,2222,701,36,665,1213,0.087372
1658137044.124754429,56,1657,518,8,510,1221,0.066898
1658137044.224855900,57,1622,521,9,512,1230,0.066820
1658137044.324722767,58,2100,660,41,619,1271,0.086801
1658137044.424809933,59,1983,642,20,622,1291,0.085075
1658137044.524908304,60,1405,486,5,481,1296,0.059538
1658137044.624745369,61,2140,673,12,661,1308,0.095789
1658137044.724828005,62,905,331,5,326,1313,0.051943
1658137044.824914217,63,2097,680,8,672,1321,0.087532
1658137044.924751520,64,1623,542,5,537,1326,0.068778
1658137045.024842262,65,2162,680,7,673,1333,0.088419
1658137045.124812603,66,2637,820,6,814,1339,0.099718
1658137045.224906206,67,2407,750,7,743,1346,0.147825
1658137045.324811935,68,2312,707,6,701,1352,0.084933
1658137045.424908876,69,2943,852,6,846,1358,0.099717
1658137045.524744749,70,2928,878,10,868,1368,0.110367
1658137045.624825001,71,3243,929,4,925,1372,0.109455
1658137045.724925041,72,1782,568,2,566,1374,0.075101
1658137045.824766636,73,2661,805,5,800,1379,0.101348
1658137045.924854279,74,1772,564,2,562,1381,0.077159
1658137046.024812460,75,1932,617,3,614,1384,0.091803
1658137046.124892235,76,2030,629,2,627,1386,0.080514
