timestamp_sensor,timestamp_wall_utc,frame_index,kdtree_size_before,kdtree_size_after,points_added,points_deleted,scan_points_raw,scan_points_downsampled,effective_feature_points,nearest_search_ms,scan_match_ms,ekf_update_ms,map_insert_ms,map_delete_ms,map_update_ms,total_frame_ms,lidar_buffer_size,imu_buffer_size
1658137038.624750853,1785481796.323903561,1,61,105,95,0,72000,107,92,0.000000000,0.198707001,0.313488001,0.101281999,0.000540000,0.101821999,1.492628999,0,17
1658137038.724840641,1785481796.549636126,2,105,157,97,0,72000,147,134,0.000000000,0.346421999,0.447345001,0.099118999,0.000536000,0.099654999,2.234905000,0,23
1658137038.824929476,1785481796.724949837,3,157,212,94,0,72000,217,175,0.000000000,0.478619000,0.588946001,0.074680000,0.000538999,0.075218999,2.529972000,0,18
1658137038.924761057,1785481796.925407171,4,212,247,84,0,72000,224,169,0.000000000,0.518540999,0.629574000,0.081083001,0.000565000,0.081648001,2.702066000,0,17
1658137039.024845600,1785481797.125518322,5,247,258,62,0,72000,172,144,0.000000000,0.445667001,0.550341001,0.081672999,0.000811000,0.082483999,1.590577001,0,18
1658137039.124808073,1785481797.326963186,6,258,322,132,0,72000,300,233,0.000000000,0.733056999,0.871785000,0.136434999,0.000823000,0.137257999,2.850827999,0,7
1658137039.224895239,1785481797.525329828,7,322,361,93,0,72000,325,236,0.000000000,0.761451000,0.894579000,0.104191000,0.000576001,0.104767001,2.899053999,0,11
1658137039.324856758,1785481797.723186016,8,361,368,29,0,72000,77,76,0.000000000,0.194514001,0.281240000,0.038321999,0.000604001,0.038926000,0.743349001,0,18
1658137039.424824715,1785481797.924281120,9,368,371,89,0,72000,270,212,0.000000000,0.651131999,0.773522999,0.125615001,0.000955999,0.126571000,1.835039000,0,17
1658137039.524910688,1785481798.123914719,10,371,379,56,0,72000,228,182,0.000000000,0.560818000,0.675915000,0.086013000,0.000675002,0.086688002,1.451993001,0,11
1658137039.624746561,1785481798.326628923,11,379,509,201,0,72000,439,305,0.000000000,0.968952001,1.124779999,0.248950000,0.000557000,0.249507000,3.187873999,0,20
1658137039.724836588,1785481798.551189423,12,509,550,195,0,72000,523,350,0.000000000,1.233776002,1.417110001,0.344075001,0.000816999,0.344892000,3.684796000,0,27
1658137039.824910402,1785481798.724807501,13,550,604,87,0,72000,407,248,0.000000000,0.947044000,1.080675000,0.088791001,0.000541999,0.089333000,2.121273999,0,18
1658137039.924752235,1785481798.924628019,14,604,643,93,0,72000,380,223,0.000000000,0.945433998,1.070052000,0.119543001,0.000623000,0.120166002,2.118325001,0,12
1658137040.024843931,1785481799.126316309,15,643,699,116,0,72000,445,253,0.000000000,1.087319000,1.221246999,0.130961000,0.000614000,0.131575000,2.117315000,0,25
