stamp_ns,position_difference_m,rotation_difference_deg
1658137038724836864,0.3883696458943492,7.0434497542702585
1658137038824924928,0.5794279139076193,0.41846117369336155
1658137038924756992,0.8987199217034286,1.280421914238509
1658137039024841216,0.9513777311550766,4.138945086587837
1658137039123235328,0.9844843727772451,1.845757204374562
1658137039224891392,1.04703629989514,2.544789145362575
1658137039324852480,1.258769774898897,1.9730070795783021
1658137039423654144,1.4175874005571782,1.9416947865963365
1658137039523622144,1.6168461836009163,2.113180767718304
1658137039623707904,1.653458250975128,3.772790702590285
1658137039721754880,1.7577880354859368,1.0388472067584362
1658137039824905984,1.7980721200556429,0.940682883822392
1658137039924747776,1.822085020575567,0.9478255096082324
1658137040023597056,1.8567962028383924,1.5125382008850023
1658137040087601920,1.861784314765739,0.7085879673679862
1658137040208980224,1.886433240634423,0.8303717247681816
1658137040308223232,1.930616112042197,1.374156732456107
1658137040407313664,1.9984948829919096,2.712861410182202
1658137040524847872,2.0477418460840306,1.2664487431614024
1658137040604856576,2.0898217651221382,2.425871517083744
1658137040724925696,2.123084549108544,4.503051704655622
1658137040824520448,2.133999254896376,3.657573175398317
1658137040924237056,2.1986084683799527,5.044855129502699
1658137041024710656,2.2179760911109483,4.64854441032398
1658137041121891328,2.168211371050899,4.858780547001442
1658137041220607744,2.1774192035607824,4.964564764880577
1658137041319080960,2.1572819647413186,5.417532655306107
1658137041424754944,2.180453066574554,4.644710642906262
1658137041524836864,2.1852564564114165,4.536674228128253
1658137041624143616,2.1752164812599974,4.748937994155877
1658137041707557376,2.173731286247239,5.057796674394081
1658137041806424064,2.1649133844519155,4.171815722196306
1658137041905147904,2.1556892669400582,4.193722943077102
1658137042024931072,2.1265846309366587,5.059184252751985
1658137042124755968,2.0893595105567995,4.61556758247765
1658137042224333568,2.1034794645969566,4.833204398452836
1658137042324898816,2.1164479664506346,4.421330049927076
1658137042421822208,2.115508386442629,4.3792600629339695
1658137042520474368,2.129759002768071,4.440912262466991
1658137042619148544,2.1397173646914647,4.685045777074895
1658137042717639936,2.153361922967722,4.8994942767120095
1658137042819605504,2.125460155588399,4.452520453261601
1658137042918654464,2.1155074874686695,5.246260496199872
1658137043024898816,2.1134884707611796,5.1529042650585195
1658137043106370560,2.1294701987914837,4.331100490240199
1658137043221887488,2.142209603188555,4.136716062671319
1658137043320371968,2.128299242939684,4.971071674119098
1658137043424734720,2.1181013957087824,5.048171583572993
1658137043524337408,2.117589619832213,4.665428725714266
1658137043622970368,2.0887651852564564,5.207858030171665
1658137043721617408,2.0947293832227376,5.198410464848695
1658137043824749824,2.074192082849035,5.1161045411789186
1658137043922389504,2.0634177271870042,4.818250483974233
1658137044021420544,2.042319945015835,5.111137913871082
1658137044109901568,2.0596942241255127,5.104917690439153
1658137044224851712,2.0468171979764556,5.391346051317085
1658137044324718592,2.0488545956724384,5.190949709469298
1658137044423091456,2.045716976924927,5.214888683127239
1658137044524903936,2.036111820284382,5.253284586673136
1658137044624574976,2.029144062167193,5.111777688790769
1658137044724823552,2.031215730175054,5.200073523088044
1658137044824068864,2.0361601340577953,5.373313403179718
1658137044922734080,2.035978224433144,5.19568693078251
1658137045024417792,2.032841765942926,5.170363377616159
1658137045123533568,2.040595461002332,5.150489838153009
1658137045222629120,2.04499145313143,5.240356987183816
1658137045311029248,2.0582087026729976,5.179332231444386
1658137045409812224,2.0690653936058654,5.110597237773417
1658137045524740608,2.068773166183431,5.242873912722518
1658137045623981312,2.0683465790330864,5.196583146572065
1658137045722544640,2.0745579833687344,5.0828329411055995
1658137045824763136,2.0695403624381137,5.175981659432548
1658137045924462848,2.076795879375724,5.14593387717331
1658137046024792064,2.0753541573008776,5.1193803724776705
1658137046123720192,2.080246181538369,5.135101992700621
1658137046222251008,2.0769237231364195,5.203583166678898
1658137046324897536,2.07184972001259,5.128564702251352
1658137046424736000,2.072208910445611,5.202955249020436
1658137046524822016,2.06323138626272,5.316569836693616
1658137046610840576,2.058903149130026,5.274156748475217
1658137046720031232,2.0637513589036214,5.211060681341289
1658137046823377152,2.05474040813399,5.246502387221867
1658137046924801792,2.045515671827445,5.384252280934663
1658137047020654336,2.0698262246028523,5.302673927284269
1658137047124716800,2.058274931629504,5.070370696446
1658137047224818944,2.0574692995352253,5.191636015640342
1658137047324848640,2.0592607484980263,5.289207281360831
1658137047423183104,2.0837057849342835,5.106039703000263
1658137047519497728,2.097762330007856,5.13016650944807
1658137047611092480,2.096726090938144,5.203926947463598
1658137047712980224,2.083237896756557,5.233149085884582
1658137047822214400,2.084205002799521,5.254992898257544
1658137047924904704,2.0722423317450116,5.284809620809573
1658137048024770816,2.071933106562989,5.214155031813342
1658137048124858368,2.0670370939574014,5.060105080010457
1658137048224825856,2.0720037783290906,5.310720422207835
1658137048324725504,2.0691131541579337,5.059371055608054
1658137048424816896,2.072097046460033,5.158079620361356
1658137048524912896,2.0728920877614545,5.093315038153249
1658137048624362240,2.0587878423659345,5.1570197558576005
1658137048722909696,2.0686224268250033,5.175969544233601
1658137048812169472,2.0769095545497147,5.167306113125371
1658137048924898560,2.0816227431633196,5.165713640301765
1658137049023313920,2.080072025827638,5.099873911163759
1658137049124845312,2.079663011788481,5.191239763214205
1658137049224743168,2.070324162739597,5.193891735601596
1658137049324242432,2.0619490917647623,5.197989191605553
1658137049422499072,2.059673576296208,5.3437297557019585
1658137049521611776,2.0555275676693983,5.028981646218961
1658137049620621824,2.051594259588476,5.172623253760926
1658137049724568320,2.0607707286188686,5.1668624923410915
1658137049824876544,2.0615424079837577,5.009758194300682
1658137049923503616,2.06807810250756,5.141785101595378
1658137050024921344,2.066253747258722,5.147965822361591
1658137050114824960,2.0709904764779083,5.177149901743744
1658137050224856064,2.0701346856751366,5.049342060606444
1658137050312484864,2.061688429904552,5.262083600951586
1658137050418610176,2.059793939068087,5.2104284000305565
1658137050524764416,2.0566079505556303,5.221883252148663
1658137050623695616,2.0444536108136973,5.309511837024031
1658137050724797952,2.0295530941657742,4.925581635628806
1658137050821777408,2.0102434165382386,5.17186684544827
1658137050920530432,2.0069279869871086,5.2369400865901845
1658137051024065280,2.019037949031826,5.29605897398152
1658137051122652416,2.032271824515721,5.260536854420816
1658137051213356800,2.043229388298327,4.888455343077232
1658137051324866304,2.0564370020143894,5.227226693915767
1658137051414909184,2.0663849521030224,5.184591824470039
1658137051513578240,2.0710818499863373,5.127876483394327
1658137051612234496,2.067663078964232,5.055725463419214
1658137051724148480,2.072796802548749,5.151899708107703
1658137051824801792,2.0786496055792765,5.321453784626221
1658137051924006656,2.0779473748180313,5.166416502002611
1658137052022959360,2.0611849871745385,5.1250559589869065
1658137052121655808,2.0608119279866157,5.1395128309023335
1658137052219693312,2.054929535990705,5.386707344756812
1658137052323696128,2.0462674247585224,5.103105005622344
1658137052424901120,2.0528029759770163,5.049893902307068
1658137052517163008,2.0500348035241074,5.10300395829011
1658137052615911680,2.04865288324233,5.18719066185002
1658137052714551552,2.044821633685263,5.22659241370522
1658137052813291264,2.0455206636685985,5.218118490774059
1658137052924824320,2.0593759381697283,5.184189931832433
1658137053024020736,2.063351863195461,5.107746816430902
1658137053124748544,2.0646321727563066,5.14049315443619
1658137053223866112,2.063102234136206,5.0992906078899045
1658137053324815872,2.0571460536707993,5.101709614416607
1658137053418620928,2.0635894480768275,5.228548672791401
1658137053524743936,2.0585742617284617,5.264819631862752
1658137053618177536,2.0450255064109326,5.195216634855954
1658137053714582784,2.0388127576475052,5.2539487033503125
1658137053824920064,2.029973833034206,5.241760494558191
1658137053915369728,2.0324417245906443,5.094375706267339
1658137054014072064,2.0407231331519444,5.09422250337701
1658137054115891456,2.033622288425312,5.33082496483047
1658137054224909568,2.0434868958455943,5.209130546742781
1658137054323618048,2.0472769148953143,5.1165650032385726
1658137054424833280,2.0499286005870982,5.232859534743672
1658137054523573760,2.0648431410606767,5.122442639377681
1658137054621435648,2.080205511109482,5.135508908087321
1658137054718603008,2.0731199498095028,5.237899084927083
1658137054824828160,2.0762419494874864,5.170161916359198
1658137054923370240,2.077788582449027,5.294866491756179
1658137055024764672,2.0773293208978143,5.182570115860362
1658137055116761856,2.0809709019377527,5.204453006186428
1658137055215461632,2.078441256601844,5.316077308978065
1658137055317264128,2.0839860497828377,5.199633157471443
1658137055416318464,2.0928442552958355,5.227229625374069
1658137055524755968,2.102330259214986,5.1896371377057315
1658137055624912640,2.0980128574619505,5.247699553829039
1658137055724748544,2.112251605930662,5.2482778027351
1658137055823721472,2.11719144679938,5.094652548936972
1658137055924916480,2.1234274447903507,5.148611012637548
1658137056018064128,2.112458123207449,5.137525496771271
1658137056124670976,2.078298207503999,5.254251492191996
1658137056218930432,2.0762640897270552,5.069118719548664
1658137056321242112,2.0894808156740754,5.1267496865025874
1658137056424586496,2.092324049320191,5.2392365563269685
1658137056524827392,2.097378655795844,5.075488863154372
1658137056623622144,2.106423731356894,5.082752400225089
1658137056722171136,2.0903837910127305,5.12238157831416
1658137056824849664,2.091976718850027,5.2700500418806175
1658137056924166656,2.102070007763394,5.23284403167642
1658137057024523008,2.1203997098348912,5.300095467370002
1658137057123285248,2.145806246495235,5.188509557101976
1658137057221307136,2.168602675256227,5.2578570690415765
1658137057324748800,2.1763943460038866,5.163578454282684
1658137057424083200,2.1898804854532545,5.1393799685901955
1658137057524742656,2.2084256402993985,5.112019298583512
1658137057624836352,2.2143427075629996,5.11294411786381
1658137057724896000,2.2129497328819783,5.096010654183847
1658137057824670976,2.2121947085305353,5.037080650210791
1658137057924848384,2.219392939668286,5.159362075725925
1658137058024757504,2.240088101727271,5.162101183811599
