timestamp_sensor,timestamp_wall_utc,frame_index,kdtree_size_before,kdtree_size_after,points_added,points_deleted,scan_points_raw,scan_points_downsampled,effective_feature_points,nearest_search_ms,scan_match_ms,ekf_update_ms,map_insert_ms,map_delete_ms,map_update_ms,total_frame_ms,lidar_buffer_size,imu_buffer_size
1658137041.824869633,1785561257.224843025,33,2117,2136,194,0,72000,727,461,0.000000000,1.979808000,2.169802000,0.394587000,0.000412000,0.394999000,3.179234000,0,10
1658137041.924714327,1785561258.227156639,34,2136,2347,370,0,72000,1334,827,0.000000000,3.491675000,3.785672000,0.500473000,0.000446000,0.500919000,5.456036000,0,15
1658137042.024935007,1785561259.225727797,35,2347,2399,247,0,72000,968,618,0.000000000,2.542949000,2.775594000,0.423539000,0.000406000,0.423945000,3.974143000,0,18
1658137042.124760151,1785561260.224355221,36,2399,2491,135,0,72000,621,370,0.000000000,1.716599000,1.884489000,0.156419000,0.000450000,0.156869000,2.559749000,0,17
1658137042.224861860,1785561261.225319862,37,2491,2559,224,0,72000,817,551,0.000000000,2.196709000,2.414798000,0.412497000,0.000686000,0.413183000,3.494329000,0,18
1658137042.324903250,1785561262.228682518,38,2559,2787,460,0,72000,1698,1170,0.000000000,4.518852000,4.919639000,0.588891000,0.000424000,0.589315000,6.780409000,0,19
1658137042.424739361,1785561263.223761082,39,2787,2812,84,0,72000,371,209,0.000000000,1.063425000,1.188225000,0.122924000,0.000401000,0.123325000,1.674324000,0,19
1658137042.524814606,1785561264.226933479,40,2812,2923,274,0,72000,1142,774,0.000000000,3.216274000,3.553579000,0.454593000,0.000430000,0.455023000,4.895335000,0,18
1658137042.624909639,1785561265.226247072,41,2923,3065,297,0,72000,1382,988,0.000000000,3.766574000,4.127930000,0.447727000,0.000410000,0.448137000,5.461413000,0,12
1658137042.724750757,1785561266.227392197,42,3065,3169,416,0,72000,1597,1099,0.000000000,4.462372000,4.841125000,0.704625000,0.000488000,0.705113000,6.643745000,0,19
1658137042.824854851,1785561267.227279663,43,3169,3369,360,0,72000,1566,1143,0.000000000,4.302441000,4.685200000,0.429204000,0.000462000,0.429666000,6.318178000,0,18
1658137042.924814939,1785561268.225939751,44,3369,3400,243,0,72000,1227,826,0.000000000,3.438760000,3.739720000,0.499282000,0.000485000,0.499767000,5.112903000,0,17
1658137043.024902582,1785561269.227463961,45,3400,3540,403,0,72000,1645,1154,0.000000000,4.518183000,4.914091000,0.645686000,0.000487000,0.646173000,6.610396000,0,21
1658137043.124729633,1785561270.225957394,46,3540,3684,281,0,72000,1288,948,0.000000000,3.496636000,3.866802000,0.352736000,0.000470000,0.353206000,5.066837000,0,18
1658137043.224834442,1785561271.229368210,47,3684,3921,503,0,72000,2188,1544,0.000000000,5.958045000,6.505530000,0.612786000,0.000403000,0.613189000,8.447056000,0,19
1658137043.324897289,1785561272.226592064,48,3921,3856,253,0,72000,1315,900,0.000000000,3.648062000,3.985280000,0.681323000,0.000579000,0.681902000,5.503960000,0,18
1658137043.424738884,1785561273.227101803,49,3856,4070,346,0,72000,1623,1047,0.000000000,4.412698000,4.774080000,0.382145000,0.000414000,0.382559000,6.066275000,0,18
1658137043.524831533,1785561274.228247643,50,4070,4216,375,0,72000,1761,1228,0.000000000,4.940158000,5.422864000,0.552378000,0.000395000,0.552773000,6.990754000,0,19
1658137043.624813080,1785561275.226665258,51,4216,4354,303,0,72000,1399,904,0.000000000,3.931533000,4.247196000,0.405603000,0.000552000,0.406155000,5.542526000,0,20
1658137043.724911451,1785561276.230737209,52,4354,4514,436,0,72000,2283,1583,0.000000000,6.398612000,7.003013000,0.628540000,0.000487000,0.629027000,9.325120000,0,18
1658137043.824754000,1785561277.230002880,53,4514,4637,438,0,72000,2006,1369,0.000000000,5.976077000,6.424636000,0.663493000,0.000564000,0.664057000,8.705571000,0,18
1658137043.924834490,1785561278.230266809,54,4637,4895,372,0,72000,1862,1187,0.000000000,6.217540000,6.695410000,0.399887000,0.000595000,0.400482000,8.649093000,0,18
1658137044.024915218,1785561279.229892969,55,4895,5111,478,0,72000,2224,1415,0.000000000,6.319289000,6.830870000,0.657875000,0.000394000,0.658269000,8.604783000,0,21
1658137044.124754429,1785561280.227991104,56,5111,5249,266,0,72000,1650,1176,0.000000000,4.862593000,5.300879000,0.350655000,0.000405000,0.351060000,6.493075000,0,18
1658137044.224855900,1785561281.227950811,57,5249,5245,246,0,72000,1625,1030,0.000000000,4.856988000,5.209837000,0.433019000,0.000492000,0.433511000,6.525053000,0,17
1658137044.324722767,1785561282.229752779,58,5245,5456,372,0,72000,2100,1314,0.000000000,6.360416000,6.827604000,0.461625000,0.000374000,0.461999000,8.301049000,0,19
1658137044.424809933,1785561283.229148626,59,5456,5605,295,0,72000,1991,1398,0.000000000,5.745140000,6.206779000,0.397174000,0.000376000,0.397550000,7.629575000,0,18
1658137044.524908304,1785561284.228546619,60,5605,5509,188,0,72000,1407,1012,0.000000000,4.571826000,5.013135000,0.512063000,0.000527000,0.512590000,6.514448000,0,26
1658137044.624745369,1785561285.229796886,61,5509,5508,267,0,72000,2135,1448,0.000000000,6.059247000,6.560745000,0.439490000,0.000395000,0.439885000,8.175614000,0,15
1658137044.724828005,1785561286.225463867,62,5508,5549,136,0,72000,906,601,0.000000000,2.687554000,2.927482000,0.223227000,0.000464000,0.223691000,3.695897000,0,17
1658137044.824914217,1785561287.229898453,63,5549,5527,261,0,72000,2088,1378,0.000000000,6.053828000,6.549286000,0.577221000,0.000622000,0.577843000,8.232575000,0,18
