timestamp_sensor,timestamp_wall_utc,frame_index,kdtree_size_before,kdtree_size_after,points_added,points_deleted,scan_points_raw,scan_points_downsampled,effective_feature_points,nearest_search_ms,scan_match_ms,ekf_update_ms,map_insert_ms,map_delete_ms,map_update_ms,total_frame_ms,lidar_buffer_size,imu_buffer_size
1658137038.624750853,1785562583.128399611,1,62,113,91,0,72000,107,92,0.000000000,0.223035000,0.562609000,0.084448000,0.000513000,0.084961000,2.000338000,0,17
1658137038.724840641,1785562584.128899097,2,113,167,86,0,72000,151,139,0.000000000,0.310977000,0.420443000,0.069310000,0.000461000,0.069771000,2.470831000,0,2
1658137038.824929476,1785562585.128020525,3,167,206,95,0,72000,219,172,0.000000000,0.490506000,0.605846000,0.086615000,0.000500000,0.087115000,3.285570000,0,18
1658137038.924761057,1785562586.128060102,4,206,230,94,0,72000,227,175,0.000000000,0.555101000,0.681675000,0.093064000,0.000465000,0.093529000,3.163893000,0,17
1658137039.024845600,1785562587.126646757,5,230,249,52,0,72000,167,137,0.000000000,0.409719000,0.520929000,0.061587000,0.000524000,0.062111000,1.857574000,0,18
1658137039.124808073,1785562588.128301144,6,249,307,105,0,72000,296,215,0.000000000,0.715123000,0.840689000,0.102309000,0.000454000,0.102763000,3.465988000,0,18
1658137039.224895239,1785562589.128519535,7,307,331,93,0,72000,328,251,0.000000000,0.783709000,0.927804000,0.146731000,0.000573000,0.147304000,3.637670000,0,11
1658137039.324856758,1785562590.126125574,8,331,350,20,0,72000,79,77,0.000000000,0.208176000,0.281892000,0.017600000,0.000426000,0.018026000,1.226377000,0,18
1658137039.424824715,1785562591.127441645,9,350,378,92,0,72000,273,216,0.000000000,0.712228000,0.850406000,0.112232000,0.000481000,0.112713000,2.466002000,0,18
1658137039.524910688,1785562592.126789093,10,378,412,59,0,72000,229,192,0.000000000,0.546240000,0.667739000,0.051261000,0.000628000,0.051889000,1.736563000,0,11
1658137039.624746561,1785562593.128715277,11,412,504,187,0,72000,439,289,0.000000000,1.041731000,1.233842000,0.205033000,0.000483000,0.205516000,3.646754000,0,20
1658137039.724836588,1785562594.129181623,12,504,573,196,0,72000,528,344,0.000000000,1.263859000,1.422516000,0.255761000,0.000469000,0.256230000,4.049667000,0,27
1658137039.824910402,1785562595.127679825,13,573,623,101,0,72000,413,260,0.000000000,0.959551000,1.102224000,0.119740000,0.000517000,0.120257000,2.357485000,0,18
1658137039.924752235,1785562596.127491474,14,623,652,104,0,72000,377,234,0.000000000,0.933012000,1.062106000,0.126097000,0.000563000,0.126660000,2.273595000,0,12
1658137040.024843931,1785562597.128127337,15,652,722,133,0,72000,442,266,0.000000000,1.148433999,1.290263000,0.140619000,0.000697000,0.141316000,2.823965000,0,25
1658137040.124804497,1785562598.127990246,16,722,776,142,0,72000,497,332,0.000000000,1.242290000,1.402468000,0.177337000,0.000494000,0.177831000,2.672802000,0,20
1658137040.224885464,1785562599.127554655,17,776,789,119,0,72000,357,232,0.000000000,0.887407001,1.020545000,0.217979000,0.000513000,0.218492000,2.177453000,0,21
1658137040.324917316,1785562600.128850460,18,789,910,229,0,72000,637,449,0.000000000,1.522710000,1.770963000,0.241607000,0.000504000,0.242111000,3.390730000,0,18
1658137040.424757481,1785562601.129676342,19,910,993,186,0,72000,706,499,0.000000000,1.778579000,1.994738000,0.239258000,0.000554000,0.239812000,3.951118000,0,17
1658137040.524852276,1785562602.128549337,20,993,1072,151,0,72000,584,358,0.000000000,1.446581000,1.617599000,0.230519000,0.000528000,0.231047000,2.972200000,0,22
1658137040.624824524,1785562603.129712105,21,1072,1153,188,0,72000,733,489,0.000000000,1.849013000,2.063589000,0.256094000,0.000469000,0.256563000,4.177296000,0,22
1658137040.724930048,1785562604.127962828,22,1153,1221,124,0,72000,431,292,0.000000000,1.174991000,1.325218000,0.167396000,0.000476000,0.167872000,2.346345000,0,23
1658137040.824769497,1785562605.128605604,23,1221,1297,150,0,72000,531,318,0.000000000,1.589669001,1.787628000,0.197937000,0.000556000,0.198493000,2.976243000,0,17
1658137040.924866199,1785562606.128625631,24,1297,1354,148,0,72000,521,325,0.000000000,1.481130000,1.643389000,0.248150000,0.000587000,0.248737000,2.924789000,0,18
1658137041.024715185,1785562607.129671574,25,1354,1453,246,0,72000,778,504,0.000000000,1.971101000,2.175835000,0.336830000,0.000461000,0.337291000,3.789859000,0,18
1658137041.124927521,1785562608.127683163,26,1453,1494,122,0,72000,328,158,0.000000000,1.036601001,1.156546000,0.175115000,0.000506000,0.175621000,1.893588000,0,8
1658137041.224772692,1785562609.129043818,27,1494,1594,202,0,72000,689,408,0.000000000,1.863298000,2.058567000,0.230655000,0.000435000,0.231090000,3.219110000,0,19
1658137041.324922085,1785562610.129273415,28,1594,1701,237,0,72000,714,428,0.000000000,1.921900000,2.114691000,0.325729000,0.000572000,0.326301000,3.394916000,0,12
1658137041.424759150,1785562611.130758762,29,1701,1827,312,0,72000,971,617,0.000000000,2.569605000,2.930892000,0.428853000,0.000635000,0.429488000,4.814959000,0,14
1658137041.524841309,1785562612.130707741,30,1827,1929,300,0,72000,1089,706,0.000000000,2.778735000,3.054380000,0.466127000,0.000579000,0.466706000,4.694775000,0,18
1658137041.624929428,1785562613.130420685,31,1929,2088,298,0,72000,971,657,0.000000000,2.606883000,2.873477000,0.340358000,0.000510000,0.340868000,4.289360000,0,25
1658137041.724767923,1785562614.127852917,32,2088,2117,76,0,72000,333,135,0.000000000,0.949095000,1.060751000,0.107113000,0.000649000,0.107762000,1.806882000,0,22
1658137041.824869633,1785562615.129200935,33,2117,2136,194,0,72000,727,461,0.000000000,2.008552000,2.250378000,0.394636000,0.000565000,0.395201000,3.678667000,0,10
