timestamp,frame_index,input_points,observed_voxels,new_voxels,reobserved_voxels,total_tracked_voxels,elapsed_ms
1658137048.224830151,97,1883,1535,9,1526,5491,0.162580
1658137048.324729681,98,1131,916,5,911,5496,0.111347
1658137048.424820662,99,1750,1391,9,1382,5505,0.152298
1658137048.524917364,100,924,739,4,735,5509,0.107728
1658137048.624762058,101,1705,1367,12,1355,5521,0.168351
1658137048.724851370,102,2147,1738,10,1728,5531,0.188966
1658137048.824818611,103,2385,1938,10,1928,5541,0.216886
1658137048.924902916,104,2422,1962,5,1957,5546,0.224115
1658137049.024749041,105,1839,1514,1,1513,5547,0.175182
1658137049.124849081,106,2519,2089,3,2086,5550,0.223068
1658137049.224814177,107,1837,1499,4,1495,5554,0.180145
1658137049.324838400,108,1752,1422,8,1414,5562,0.173566
1658137049.424927711,109,2315,1885,4,1881,5566,0.204948
1658137049.524772406,110,2535,2052,4,2048,5570,0.221863
1658137049.624854803,111,1602,1298,3,1295,5573,0.152783
1658137049.724809885,112,2819,2318,8,2310,5581,0.240087
1658137049.824880838,113,2222,1802,4,1798,5585,0.197380
1658137049.924723387,114,1829,1523,6,1517,5591,0.172584
1658137050.024925232,115,2128,1722,5,1717,5596,0.193557
1658137050.124774218,116,2848,2358,7,2351,5603,0.246537
1658137050.224860668,117,1438,1181,3,1178,5606,0.153054
1658137050.324713469,118,2496,2048,5,2043,5611,0.249940
1658137050.424923897,119,1659,1364,3,1361,5614,0.161307
1658137050.524768591,120,1148,929,1,928,5615,0.134187
1658137050.624852180,121,891,750,2,748,5617,0.118519
1658137050.724802017,122,2106,1708,3,1705,5620,0.191460
1658137050.824887276,123,1310,1084,7,1077,5627,0.132179
1658137050.924723625,124,1966,1654,3,1651,5630,0.186108
1658137051.024813890,125,1199,974,3,971,5633,0.120850
1658137051.124901772,126,1128,948,0,948,5633,0.134055
1658137051.224734068,127,2010,1665,4,1661,5637,0.196734
1658137051.324870586,128,1550,1246,0,1246,5637,0.156950
1658137051.424714804,129,2481,2016,1,2015,5638,0.221551
1658137051.524930954,130,2509,2077,1,2076,5639,0.221335
1658137051.624763727,131,1589,1314,4,1310,5643,0.153716
1658137051.724847555,132,1785,1470,1,1469,5644,0.168271
1658137051.824814320,133,1576,1262,0,1262,5644,0.167987
1658137051.924902678,134,2317,1925,2,1923,5646,0.208140
1658137052.024753571,135,1560,1306,3,1303,5649,0.160269
1658137052.124845743,136,994,820,1,819,5650,0.128503
1658137052.224801302,137,1990,1655,1,1654,5651,0.184904
1658137052.324819088,138,2022,1657,1,1656,5652,0.189361
1658137052.424905539,139,2069,1662,1,1661,5653,0.190054
1658137052.524747610,140,1671,1357,10,1347,5663,0.183769
1658137052.624815702,141,1029,812,2,810,5665,0.187669
1658137052.724907875,142,1758,1466,3,1463,5668,0.168418
1658137052.824737072,143,1321,1064,0,1064,5668,0.134124
1658137052.924828529,144,1564,1307,1,1306,5669,0.164363
1658137053.024919033,145,2020,1644,1,1643,5670,0.204661
1658137053.124773026,146,1088,870,4,866,5674,0.143855
1658137053.224861145,147,1112,901,1,900,5675,0.128615
1658137053.324820518,148,1751,1499,0,1499,5675,0.169406
1658137053.424914360,149,1964,1597,7,1590,5682,0.194686
1658137053.524769068,150,1287,1043,14,1029,5696,0.141864
1658137053.624865532,151,2055,1646,10,1636,5706,0.189786
1658137053.724712849,152,2385,1941,12,1929,5718,0.218913
1658137053.824924469,153,1201,970,1,969,5719,0.124747
1658137053.924747467,154,1159,956,14,942,5733,0.128743
1658137054.024848700,155,2195,1821,9,1812,5742,0.220229
1658137054.124700069,156,2312,1946,1,1945,5743,0.216254
1658137054.224913836,157,2399,1987,2,1985,5745,0.236342
1658137054.324745655,158,883,718,0,718,5745,0.113129
1658137054.424837351,159,1236,1034,5,1029,5750,0.129998
1658137054.524818897,160,1681,1397,7,1390,5757,0.165869
1658137054.624910116,161,1128,930,9,921,5766,0.133412
1658137054.724743366,162,2503,2059,10,2049,5776,0.227555
1658137054.824832201,163,2112,1750,52,1698,5828,0.202322
1658137054.924925089,164,2422,1976,65,1911,5893,0.221677
1658137055.024769068,165,1533,1227,55,1172,5948,0.155021
1658137055.124868631,166,2059,1659,83,1576,6031,0.189925
1658137055.224709272,167,2599,2142,78,2064,6109,0.240616
1658137055.324908972,168,2263,1896,79,1817,6188,0.219026
1658137055.424731731,169,2569,2106,89,2017,6277,0.238614
1658137055.524831057,170,2413,2006,78,1928,6355,0.231508
1658137055.624917030,171,2796,2279,109,2170,6464,0.240486
1658137055.724752426,172,2357,1963,115,1848,6579,0.217460
1658137055.824841022,173,2041,1694,122,1572,6701,0.207326
1658137055.924920559,174,2444,2045,161,1884,6862,0.236965
1658137056.024767399,175,2443,2013,235,1778,7097,0.235793
1658137056.124871016,176,2327,1952,206,1746,7303,0.234109
1658137056.224819183,177,2495,2071,169,1902,7472,0.254431
1658137056.324915886,178,2375,1972,179,1793,7651,0.231658
1658137056.424752951,179,3034,2511,276,2235,7927,0.299740
1658137056.524831533,180,3446,2847,198,2649,8125,0.325515
1658137056.624923468,181,2584,2196,184,2012,8309,0.263355
1658137056.724765301,182,2943,2437,218,2219,8527,0.299399
1658137056.824853420,183,2904,2431,162,2269,8689,0.275605
1658137056.924820900,184,2967,2492,214,2278,8903,0.294440
1658137057.024913311,185,3231,2719,205,2514,9108,0.703534
1658137057.124753952,186,3079,2566,246,2320,9354,0.321918
