run_id,kdtree_points_initial,kdtree_points_final,kdtree_points_peak,kdtree_points_slope_per_min,kdtree_linear_regression_r2,rss_kdtree_pearson
performance_01,120,910202,1173301,19209.69000269238,0.20383530079783763,0.6197488351640499
performance_02,108,688749,1312966,12303.50169563976,0.06796756239672586,0.7031879979734736
performance_03,113,752045,1580047,13924.491638115473,0.07604014447404339,0.6131468508571607
