timestamp_utc,run_id,container_id,cpu_percent,memory_usage,memory_limit,memory_percent,net_io,block_io,pids
"2026-07-31T13:29:13.9415768Z","visualization_01","dc3ae6023b26","171.63%","3.2GiB","7.612GiB","42.03%","7.27MB / 5.53MB","193GB / 35GB","109"
"2026-07-31T13:29:15.9736345Z","visualization_01","dc3ae6023b26","162.23%","3.194GiB","7.612GiB","41.96%","7.27MB / 5.53MB","193GB / 35GB","109"
"2026-07-31T13:29:18.0024997Z","visualization_01","dc3ae6023b26","161.87%","3.191GiB","7.612GiB","41.92%","7.28MB / 5.54MB","193GB / 35GB","109"
"2026-07-31T13:29:20.0317579Z","visualization_01","dc3ae6023b26","160.42%","3.204GiB","7.612GiB","42.09%","7.28MB / 5.54MB","193GB / 35GB","109"
"2026-07-31T13:29:22.0647719Z","visualization_01","dc3ae6023b26","164.21%","3.204GiB","7.612GiB","42.09%","7.28MB / 5.54MB","193GB / 35GB","109"
"2026-07-31T13:29:25.0691722Z","visualization_01","dc3ae6023b26","164.04%","3.203GiB","7.612GiB","42.08%","7.28MB / 5.54MB","193GB / 35GB","109"
"2026-07-31T13:29:27.1032281Z","visualization_01","dc3ae6023b26","164.01%","3.217GiB","7.612GiB","42.25%","7.28MB / 5.54MB","193GB / 35GB","109"
"2026-07-31T13:29:29.1338091Z","visualization_01","dc3ae6023b26","164.19%","3.214GiB","7.612GiB","42.22%","7.28MB / 5.54MB","193GB / 35GB","109"
"2026-07-31T13:29:31.1658858Z","visualization_01","dc3ae6023b26","164.26%","3.214GiB","7.612GiB","42.22%","7.28MB / 5.54MB","193GB / 35GB","109"
"2026-07-31T13:29:34.1694260Z","visualization_01","dc3ae6023b26","164.07%","3.211GiB","7.612GiB","42.19%","7.28MB / 5.54MB","193GB / 35GB","109"
"2026-07-31T13:29:36.1979104Z","visualization_01","dc3ae6023b26","163.64%","3.221GiB","7.612GiB","42.31%","7.29MB / 5.55MB","193GB / 35GB","109"
