timestamp_utc,run_id,container_id,cpu_percent,memory_usage,memory_limit,memory_percent,net_io,block_io,pids
"2026-07-31T11:51:38.9239297Z","warmup_01","dc3ae6023b26","167.45%","543.1MiB","7.612GiB","6.97%","4.1MB / 2.36MB","69.9GB / 34.7GB","109"
"2026-07-31T11:51:40.9641935Z","warmup_01","dc3ae6023b26","163.07%","557.6MiB","7.612GiB","7.15%","4.1MB / 2.36MB","70GB / 34.7GB","109"
"2026-07-31T11:51:43.9683870Z","warmup_01","dc3ae6023b26","162.84%","560.9MiB","7.612GiB","7.20%","4.11MB / 2.37MB","70GB / 34.7GB","109"
"2026-07-31T11:51:45.9976547Z","warmup_01","dc3ae6023b26","162.64%","562.4MiB","7.612GiB","7.21%","4.11MB / 2.37MB","70.1GB / 34.7GB","109"
"2026-07-31T11:51:48.0301821Z","warmup_01","dc3ae6023b26","159.43%","568.5MiB","7.612GiB","7.29%","4.11MB / 2.37MB","70.1GB / 34.7GB","109"
"2026-07-31T11:51:50.0610815Z","warmup_01","dc3ae6023b26","165.47%","565.6MiB","7.612GiB","7.26%","4.11MB / 2.37MB","70.2GB / 34.7GB","109"
"2026-07-31T11:51:53.0646656Z","warmup_01","dc3ae6023b26","166.41%","570.6MiB","7.612GiB","7.32%","4.11MB / 2.37MB","70.3GB / 34.7GB","109"
"2026-07-31T11:51:55.0962172Z","warmup_01","dc3ae6023b26","166.96%","564.3MiB","7.612GiB","7.24%","4.11MB / 2.37MB","70.3GB / 34.7GB","109"
"2026-07-31T11:51:57.1380951Z","warmup_01","dc3ae6023b26","163.80%","564.4MiB","7.612GiB","7.24%","4.11MB / 2.37MB","70.4GB / 34.7GB","109"
"2026-07-31T11:51:59.1678076Z","warmup_01","dc3ae6023b26","163.11%","567.6MiB","7.612GiB","7.28%","4.11MB / 2.37MB","70.4GB / 34.7GB","109"
"2026-07-31T11:52:01.1974970Z","warmup_01","dc3ae6023b26","165.18%","567.1MiB","7.612GiB","7.27%","4.12MB / 2.38MB","70.5GB / 34.7GB","109"
"2026-07-31T11:52:04.2016033Z","warmup_01","dc3ae6023b26","163.34%","570.3MiB","7.612GiB","7.32%","4.12MB / 2.38MB","70.5GB / 34.7GB","109"
"2026-07-31T11:52:06.2343821Z","warmup_01","dc3ae6023b26","162.43%","574.3MiB","7.612GiB","7.37%","4.12MB / 2.38MB","70.6GB / 34.7GB","109"
