timestamp_utc,run_id,container_id,cpu_percent,memory_usage,memory_limit,memory_percent,net_io,block_io,pids
"2026-07-31T12:16:57.3390915Z","performance_02","dc3ae6023b26","184.52%","2.703GiB","7.612GiB","35.51%","4.91MB / 3.17MB","101GB / 34.7GB","62"
"2026-07-31T12:16:59.3891425Z","performance_02","dc3ae6023b26","18.34%","2.694GiB","7.612GiB","35.40%","4.91MB / 3.17MB","102GB / 34.7GB","34"
"2026-07-31T12:17:01.4190228Z","performance_02","dc3ae6023b26","4.26%","2.831GiB","7.612GiB","37.19%","4.92MB / 3.18MB","102GB / 34.7GB","78"
"2026-07-31T12:17:04.4252652Z","performance_02","dc3ae6023b26","3.73%","2.831GiB","7.612GiB","37.18%","4.92MB / 3.18MB","102GB / 34.7GB","77"
"2026-07-31T12:17:06.4603958Z","performance_02","dc3ae6023b26","166.44%","2.856GiB","7.612GiB","37.52%","4.93MB / 3.19MB","102GB / 34.7GB","94"
"2026-07-31T12:17:08.4947486Z","performance_02","dc3ae6023b26","13.84%","2.869GiB","7.612GiB","37.69%","4.93MB / 3.19MB","102GB / 34.7GB","94"
"2026-07-31T12:17:10.5257114Z","performance_02","dc3ae6023b26","7.51%","2.952GiB","7.612GiB","38.77%","4.94MB / 3.2MB","102GB / 34.7GB","105"
"2026-07-31T12:17:13.5316967Z","performance_02","dc3ae6023b26","7.76%","2.951GiB","7.612GiB","38.77%","4.94MB / 3.2MB","102GB / 34.7GB","105"
"2026-07-31T12:17:15.5631611Z","performance_02","dc3ae6023b26","112.43%","3.06GiB","7.612GiB","40.19%","4.94MB / 3.2MB","102GB / 34.7GB","106"
"2026-07-31T12:17:17.5999375Z","performance_02","dc3ae6023b26","113.88%","3.054GiB","7.612GiB","40.12%","4.94MB / 3.2MB","102GB / 34.7GB","106"
"2026-07-31T12:17:19.6304540Z","performance_02","dc3ae6023b26","113.50%","3.035GiB","7.612GiB","39.87%","4.94MB / 3.2MB","102GB / 34.7GB","106"
"2026-07-31T12:17:21.6632133Z","performance_02","dc3ae6023b26","114.53%","3.034GiB","7.612GiB","39.86%","4.94MB / 3.2MB","102GB / 34.7GB","106"
"2026-07-31T12:17:24.6678537Z","performance_02","dc3ae6023b26","113.37%","3.038GiB","7.612GiB","39.91%","4.94MB / 3.2MB","102GB / 34.7GB","106"
"2026-07-31T12:17:26.7004715Z","performance_02","dc3ae6023b26","134.38%","3.053GiB","7.612GiB","40.11%","4.94MB / 3.2MB","102GB / 34.7GB","108"
"2026-07-31T12:17:28.7335464Z","performance_02","dc3ae6023b26","136.29%","3.047GiB","7.612GiB","40.03%","4.95MB / 3.21MB","102GB / 34.7GB","108"
